file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time,fluxA,fluxB
icdg06ddq_flt.fits,F125W,6,227,0,0,2014-04-11,16:11:33,88.435623,0.981209,1.011157
icdg06deq_flt.fits,F125W,6,227,0,0,2014-04-11,16:13:20,88.435623,0.986030,0.998348
icdg06dfq_flt.fits,F125W,6,227,0,0,2014-04-11,16:15:07,88.435623,0.987859,0.984266
icdg06dkq_flt.fits,F125W,6,227,1,2,2014-04-11,16:23:03,88.435623,0.993102,0.986930
icdg06dlq_flt.fits,F125W,6,227,1,2,2014-04-11,16:24:50,88.435623,0.991815,1.014824
icdg06dmq_flt.fits,F125W,6,227,1,2,2014-04-11,16:26:37,88.435623,0.994039,1.023422
icdg06dpq_flt.fits,F125W,6,227,2,4,2014-04-11,16:32:47,88.435623,1.002225,1.016624
icdg06dqq_flt.fits,F125W,6,227,2,4,2014-04-11,16:34:34,88.435623,1.004931,1.008272
icdg06drq_flt.fits,F125W,6,227,2,4,2014-04-11,16:36:21,88.435623,1.004135,1.002101
icdg06dvq_flt.fits,F125W,6,227,3,6,2014-04-11,16:44:17,88.435623,0.996500,1.014357
icdg06dwq_flt.fits,F125W,6,227,3,6,2014-04-11,16:46:04,88.435623,1.002840,0.998339
icdg06dxq_flt.fits,F125W,6,227,3,6,2014-04-11,16:47:51,88.435623,1.006700,0.984433
