56758.690970 Apr 11 2014 16:35:00   -3.6075
56758.694440 Apr 11 2014 16:40:00   -4.0128
56758.697910 Apr 11 2014 16:44:59   -4.3512
56758.701380 Apr 11 2014 16:49:59   -4.3615
56758.704860 Apr 11 2014 16:55:00   -4.5144
56758.708330 Apr 11 2014 17:00:00   -4.7832
56758.711800 Apr 11 2014 17:05:00   -4.7376
56758.715270 Apr 11 2014 17:09:59   -4.8884
56758.718750 Apr 11 2014 17:15:00   -4.1690
56758.722220 Apr 11 2014 17:20:00   -3.5353
56758.725690 Apr 11 2014 17:25:00   -2.4211
56758.729160 Apr 11 2014 17:29:59   -0.9484
56758.732630 Apr 11 2014 17:34:59    0.2124
