FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y
oicdg01a1q_flt.fits,F125W,1,0.0,3,0,2014-04-11,08:42:18,88.435623,77588.625,188.421295166,0.6884765625,145.069335938,172.674682617,150.057815552,169.365631104
icdg01zdq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:07:47,88.435623,76365.328125,193.125091553,0.937932014465,135.008773804,161.398803711,140.012496948,158.0546875
icdg01zeq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:09:34,88.435623,76973.2578125,190.945373535,0.828785896301,135.00302124,161.390228271,140.012496948,158.046096802
icdg01zfq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:11:21,88.435623,77260.9296875,191.206558228,0.773875236511,135.001617432,161.391906738,139.998443604,158.045318604
icdg01znq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:19:17,88.435623,77349.59375,189.514007568,0.666665077209,145.120697021,161.330871582,150.078903198,157.986724854
icdg01zpq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:21:04,88.435623,77428.8125,192.814651489,0.65793800354,145.116500854,161.33190918,150.103118896,158.002349854
icdg01zqq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:22:51,88.435623,77784.6171875,188.518264771,0.619894981384,145.118225098,161.333572388,150.05859375,157.990631104
icdg01ztq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:29:01,88.435623,77262.5859375,185.439422607,0.676245689392,134.943267822,172.69178772,139.922653198,169.416412354
icdg01zuq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:30:48,88.435623,77563.421875,187.903289795,0.648951530457,134.93057251,172.690414429,139.953125,169.438278198
icdg01zvq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:32:35,88.435623,77557.7421875,182.956359863,0.629645347595,134.920455933,172.697418213,139.942184448,169.435943604
icdg01zzq_flt.fits,F125W,1,0.0,3,8,2014-04-11,08:40:31,88.435623,77411.8359375,179.842681885,0.712536811829,145.073684692,172.670639038,150.051559448,169.369537354
