FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,63250.3359375,312.675842285,0.354286193848,144.98336792,172.859939575,149.963287354,169.556243896
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,63611.3515625,317.411499023,0.321775436401,144.982513428,172.863204956,149.960159302,169.565628052
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,62983.7773438,314.004394531,0.37576675415,134.894210815,161.555496216,139.89453125,158.297653198
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,63016.2265625,329.309783936,0.36406993866,134.88973999,161.562759399,139.864059448,158.299224854
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,63000.9140625,318.755157471,0.384076118469,134.885650635,161.559112549,139.857025146,158.28515625
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,63212.625,317.155609131,0.345241546631,145.014450073,161.505966187,149.999221802,158.225784302
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,63447.4882812,324.391571045,0.338438987732,145.0078125,161.504653931,149.975006104,158.249221802
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,63411.1171875,315.691955566,0.324730873108,134.803726196,172.887878418,139.846099854,169.580474854
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,63744.6132812,317.865997314,0.312301635742,134.794876099,172.891891479,139.838287354,169.6015625
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,63858.890625,319.755310059,0.293137550354,134.797485352,172.892410278,139.84765625,169.608596802
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,63448.0234375,321.742675781,0.413020133972,141.560958862,159.268997192,144.78125,153.892974854
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,63280.9492188,323.323577881,0.419305801392,141.559188843,159.262283325,144.77734375,153.896087646
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,63370.6640625,321.144897461,0.410239219666,141.559112549,159.254974365,144.785934448,153.890625
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,63008.6796875,327.06060791,0.411076545715,151.671401978,159.21762085,154.870315552,153.842193604
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,63314.8632812,322.69354248,0.390476226807,151.664871216,159.206573486,154.887496948,153.842971802
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,63851.25,312.646606445,0.353172302246,141.492614746,170.54284668,144.760940552,165.162506104
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,64613.0039062,314.774597168,0.25407409668,141.483459473,170.546432495,144.741409302,165.1875
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,64426.3984375,309.000640869,0.26425075531,141.486236572,170.545852661,144.740631104,165.146087646
icdg02azq_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:19:49,88.435623,63483.1328125,317.695037842,0.360033988953,151.609481812,170.5,154.866409302,165.14453125
icdg02b0q_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:21:36,88.435623,63284.2148438,320.547424316,0.402697563171,151.616882324,170.49961853,154.875778198,165.154693604
icdg03bdq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:24:30,88.435623,63155.5976562,324.857025146,0.436087608337,134.842956543,161.58807373,139.840621948,158.31640625
icdg03bfq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:26:17,88.435623,63270.6757812,325.755065918,0.443638801575,134.835647583,161.586685181,139.846878052,158.325775146
icdg03bgq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:28:04,88.435623,63489.8007812,322.027130127,0.384558677673,134.821060181,161.582138062,139.857818604,158.303909302
icdg03bkq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:36:00,88.435623,63911.1796875,323.5574646,0.351637840271,144.979049683,161.543670654,149.948440552,158.237503052
