FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXB,FLUXERRB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a1q_flt.fits,F125W,1,0.0,3,0,2014-04-11,08:42:18,88.435623,78335.1171875,123.7525405883789,194.69802856445312,2.4972915649414062,0.593571662902832,145.0554962158203,172.67169189453125,150.03280639648438,169.39218139648438,1.3254132270812988
icdg01zdq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:07:47,88.435623,77367.5703125,122.07705688476562,201.15013122558594,2.567026138305664,0.8735637664794922,135.0009765625,161.39161682128906,139.9875030517578,158.0710906982422,1.5972846746444702
icdg01zeq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:09:34,88.435623,78043.5546875,122.20264434814453,198.36807250976562,2.5620102882385254,0.7654867172241211,134.99899291992188,161.38612365722656,139.99374389648438,158.05313110351562,1.2860620021820068
icdg01zfq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:11:21,88.435623,78314.8203125,122.43851470947266,197.81198120117188,2.5677084922790527,0.7082853317260742,134.9976348876953,161.38328552246094,139.9757843017578,158.05859375,1.5269219875335693
icdg01znq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:19:17,88.435623,78443.125,120.60831451416016,196.4310302734375,2.6371941566467285,0.5909337997436523,145.1204376220703,161.32388305664062,150.0460968017578,158.0007781982422,1.395755410194397
icdg01zpq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:21:04,88.435623,78481.1796875,120.52183532714844,201.4817352294922,2.57552170753479,0.5978727340698242,145.09066772460938,161.3289794921875,150.08047485351562,158.02108764648438,0.997431218624115
icdg01zqq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:22:51,88.435623,78794.9453125,120.7641372680664,198.1291961669922,2.5835649967193604,0.5603466033935547,145.0952911376953,161.33224487304688,150.015625,158.00234985351562,1.0026088953018188
icdg01ztq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:29:01,88.435623,77815.2421875,121.83686065673828,192.7075653076172,2.534451961517334,0.6868352890014648,134.93869018554688,172.69496154785156,139.8625030517578,169.4296875,1.6564885377883911
icdg01zuq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:30:48,88.435623,78178.6953125,120.53427124023438,191.8645782470703,2.5009262561798096,0.6475038528442383,134.93618774414062,172.6940155029297,139.9093780517578,169.4453125,1.2321522235870361
icdg01zvq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:32:35,88.435623,78337.296875,120.68281555175781,188.14874267578125,2.5079336166381836,0.6182136535644531,134.93017578125,172.69677734375,139.8859405517578,169.4523468017578,1.5666191577911377
