FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y
icdg01a1q_flt.fits,F125W,1,0.0,3,0,2014-04-11,08:42:18,88.435623,77820.78125,180.12722778320312,0.6909046173095703,145.00994873046875,172.63327026367188,149.9929656982422,169.3507843017578
icdg01zdq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:07:47,88.435623,77699.734375,186.52392578125,0.49135398864746094,134.96502685546875,161.3433380126953,139.9250030517578,158.01171875
icdg01zeq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:09:34,88.435623,78051.4296875,185.19847106933594,0.5251560211181641,134.95301818847656,161.33554077148438,139.9109344482422,157.9992218017578
icdg01zfq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:11:21,88.435623,78431.5,183.72531127929688,0.4163856506347656,134.95240783691406,161.33799743652344,139.9070281982422,158.00390625
icdg01znq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:19:17,88.435623,77080.953125,185.23733520507812,0.522308349609375,145.06991577148438,161.2808837890625,149.99844360351562,157.9617156982422
icdg01zpq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:21:04,88.435623,77398.03125,186.905517578125,0.47919273376464844,145.07119750976562,161.2701873779297,150.0124969482422,157.9992218017578
icdg01zqq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:22:51,88.435623,78056.171875,181.3741455078125,0.3638191223144531,145.07525634765625,161.27420043945312,150.0,157.9953155517578
icdg01ztq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:29:01,88.435623,77006.5,176.23397827148438,0.79156494140625,134.8909149169922,172.65272521972656,139.8445281982422,169.37734985351562
icdg01zuq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:30:48,88.435623,78012.5,175.715576171875,0.6551666259765625,134.8844757080078,172.65292358398438,139.8992156982422,169.39297485351562
icdg01zvq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:32:35,88.435623,77368.875,173.53121948242188,0.6995563507080078,134.8759307861328,172.65835571289062,139.8742218017578,169.40234375
icdg01zzq_flt.fits,F125W,1,0.0,3,8,2014-04-11,08:40:31,88.435623,77672.4375,171.5730743408203,0.7265701293945312,145.01275634765625,172.62611389160156,149.98828125,169.35702514648438
icdg02aeq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:43:25,88.435623,76434.1875,185.62930297851562,0.9771060943603516,141.6063690185547,159.05661010742188,144.8515625,153.79531860351562
icdg02afq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:45:12,88.435623,76534.0703125,183.45370483398438,0.9401435852050781,141.6052703857422,159.0511016845703,144.8406219482422,153.78515625
icdg02agq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:46:59,88.435623,76336.9375,180.3645477294922,0.9038925170898438,141.6028594970703,159.0498046875,144.82656860351562,153.79452514648438
icdg02alq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:54:55,88.435623,76301.1171875,181.32859802246094,0.7250461578369141,151.74285888671875,159.00250244140625,154.9031219482422,153.70858764648438
icdg02anq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:56:42,88.435623,77220.0,182.61090087890625,0.6121807098388672,151.7413787841797,158.98919677734375,154.8976593017578,153.70468139648438
icdg02aoq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:58:29,88.435623,77030.65625,188.6634521484375,0.7237644195556641,151.7301025390625,158.99525451660156,154.9210968017578,153.70703125
icdg02arq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:04:39,88.435623,78119.125,183.50672912597656,0.8743686676025391,141.55796813964844,170.35223388671875,144.79141235351562,164.99453735351562
icdg02asq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:06:26,88.435623,79375.4375,178.48855590820312,0.6704273223876953,141.55758666992188,170.35755920410156,144.796875,164.94766235351562
icdg02atq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:08:13,88.435623,79543.734375,178.2323760986328,0.6562538146972656,141.54214477539062,170.34869384765625,144.7976531982422,164.94766235351562
