FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,61231.05078125,52.51564407348633,3.2243478298187256,342.9756774902344,0.6333928108215332,144.92710876464844,172.85916137695312,149.9171905517578,169.6046905517578,55.63166427612305
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,61247.70703125,53.064109802246094,3.239565134048462,349.9022216796875,0.6295881271362305,144.92236328125,172.8592987060547,149.9109344482422,169.62109375,56.00251770019531
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,59465.765625,52.86458206176758,3.293283462524414,357.64654541015625,0.7945618629455566,134.85279846191406,161.5828399658203,139.80703735351562,158.33047485351562,53.84453201293945
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,59840.21875,53.29790496826172,3.3221988677978516,367.2950439453125,0.7552905082702637,134.84832763671875,161.58621215820312,139.8054656982422,158.32266235351562,54.83298110961914
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,60059.05859375,53.79788589477539,3.276782274246216,356.35211181640625,0.7769098281860352,134.8395538330078,161.58099365234375,139.7921905517578,158.3195343017578,53.743717193603516
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,61682.2421875,55.73596954345703,3.238872766494751,342.019287109375,0.6165909767150879,144.99569702148438,161.52940368652344,149.9406280517578,158.2453155517578,44.640220642089844
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,61747.63671875,55.30067825317383,3.2562649250030518,349.4763488769531,0.623354434967041,144.98126220703125,161.5265350341797,149.9210968017578,158.26797485351562,47.77310562133789
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,61143.51953125,52.301124572753906,3.330402374267578,345.9119873046875,0.5623211860656738,134.78732299804688,172.88943481445312,139.77969360351562,169.65078735351562,49.70008850097656
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,61111.796875,52.484153747558594,3.357267379760742,350.1713562011719,0.5851902961730957,134.783935546875,172.8918914794922,139.765625,169.671875,49.21693420410156
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,61881.6796875,53.25973892211914,3.3141772747039795,345.8068542480469,0.5613918304443359,134.7888946533203,172.89944458007812,139.77890014648438,169.63827514648438,45.62775421142578
