icdg03bmq_drz.fits      71925.2      143.120      162.815 11:40:17 F125W
icdg03bnq_drz.fits      72447.6      143.113      162.801 11:42:04 F125W
icdg03boq_drz.fits      71752.0      143.101      162.800 11:43:51 F125W
icdg03bpq_drz.fits      55765.4      142.990      162.945 11:45:44 F160W
icdg03bqq_drz.fits      56359.6      142.990      162.951 11:47:31 F160W
icdg03brq_drz.fits      56036.8      142.998      162.951 11:49:18 F160W
icdg03bsq_drz.fits      69637.5      153.763      162.738 11:51:47 F125W
icdg03btq_drz.fits      70042.6      153.764      162.724 11:53:34 F125W
icdg03buq_drz.fits      69116.5      153.767      162.739 11:55:21 F125W
icdg03bvq_drz.fits      56660.3      153.701      162.854 11:57:14 F160W
icdg03bwq_drz.fits      56299.6      153.700      162.855 11:59:01 F160W
icdg03bxq_drz.fits      55946.1      153.702      162.857 12:00:48 F160W
icdg04011_drz.fits      41917.6      150.105      150.029 12:58:15 F125W
icdg04021_drz.fits      37381.4      150.097      150.375 13:00:08 F160W
icdg04031_drz.fits      45630.0      160.478      149.735 13:06:11 F125W
icdg04041_drz.fits      58043.0      160.848      149.830 13:11:38 F160W
icdg04051_drz.fits      63640.8      150.306      160.482 13:15:55 F125W
icdg04061_drz.fits      49957.9      150.107      160.746 13:23:09 F160W
icdg04071_drz.fits      49629.2      160.559      160.705 13:30:59 F125W
icdg04081_drz.fits      49524.6      160.729      160.620 13:34:39 F160W
icdg04bzq_drz.fits      71099.7      150.218      149.898 12:54:41 F125W
icdg04c0q_drz.fits      72079.0      150.218      149.895 12:56:28 F125W
icdg04c1q_drz.fits      71662.8      150.266      149.885 12:58:15 F125W
icdg04c2q_drz.fits      57090.2      150.063      150.033 13:00:08 F160W
icdg04c4q_drz.fits      55903.1      150.077      150.036 13:01:55 F160W
icdg04c5q_drz.fits      56926.4      150.079      150.031 13:03:42 F160W
icdg04c6q_drz.fits      70405.5      160.762      149.755 13:06:11 F125W
icdg04c7q_drz.fits      71795.7      160.753      149.757 13:07:58 F125W
icdg04c8q_drz.fits      70972.2      160.750      149.759 13:09:45 F125W
icdg04c9q_drz.fits      56721.8      160.739      149.946 13:11:38 F160W
icdg04caq_drz.fits      56444.7      160.793      149.950 13:13:25 F160W
