FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXB,FLUXERRB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a1q_flt.fits,F125W,1,0.0,3,0,2014-04-11,08:42:18,88.435623,80086.515625,71.61500549316406,188.96583557128906,2.4871413707733154,0.5704760551452637,145.0662078857422,172.7028045654297,150.03125,169.4054718017578,41.52408981323242
icdg01zdq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:07:47,88.435623,74156.0625,67.17988586425781,202.5959014892578,2.571047067642212,1.1307868957519531,135.0267333984375,161.4347381591797,139.95938110351562,158.0789031982422,48.06621551513672
icdg01zeq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:09:34,88.435623,75112.0390625,67.8956527709961,199.38365173339844,2.5697290897369385,0.9919395446777344,135.02020263671875,161.4246063232422,139.9578094482422,158.06094360351562,47.79795455932617
icdg01zfq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:11:21,88.435623,74902.6953125,68.0096206665039,200.20098876953125,2.5736351013183594,0.9732246398925781,135.01724243164062,161.4270477294922,139.9460906982422,158.0656280517578,46.85974884033203
icdg01znq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:19:17,88.435623,74452.78125,65.70673370361328,199.88877868652344,2.6269567012786865,0.8814053535461426,145.1394500732422,161.36212158203125,150.03359985351562,158.0124969482422,45.25192642211914
icdg01zpq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:21:04,88.435623,75061.78125,65.93724822998047,202.49530029296875,2.623992919921875,0.8341069221496582,145.1305694580078,161.36080932617188,150.046875,158.02578735351562,43.27617263793945
icdg01zqq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:22:51,88.435623,74985.125,67.03022766113281,199.17799377441406,2.6288464069366455,0.828125,145.1346435546875,161.36326599121094,150.00625610351562,158.01797485351562,41.487003326416016
icdg01ztq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:29:01,88.435623,79625.6953125,72.03752899169922,183.57028198242188,2.4887936115264893,0.5935788154602051,134.95263671875,172.72225952148438,139.90469360351562,169.4296875,42.98350524902344
icdg01zuq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:30:48,88.435623,80040.8984375,71.69129943847656,185.09410095214844,2.470993757247925,0.5570974349975586,134.9430694580078,172.7255859375,139.94296264648438,169.4523468017578,42.93234634399414
icdg01zvq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:32:35,88.435623,80332.7109375,72.32550048828125,180.298583984375,2.4717302322387695,0.5180091857910156,134.939208984375,172.7255401611328,139.9226531982422,169.45938110351562,42.95014190673828
