FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,60852.57421875,52.0723876953125,3.262373924255371,344.3017272949219,0.6020269393920898,144.93280029296875,172.8636932373047,149.91171264648438,169.60702514648438,1.7169150114059448
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,60932.65625,52.66539764404297,3.281353712081909,351.39642333984375,0.5927557945251465,144.9274444580078,172.86407470703125,149.9015655517578,169.62344360351562,1.6108150482177734
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,60544.55078125,53.49174118041992,3.257021903991699,347.5040283203125,0.7145648002624512,134.8648681640625,161.5734405517578,139.81796264648438,158.32266235351562,2.14876127243042
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,60579.06640625,53.8641471862793,3.2925620079040527,359.4537048339844,0.707186222076416,134.859619140625,161.5762176513672,139.81405639648438,158.3249969482422,2.0411171913146973
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,60512.44921875,54.009849548339844,3.2617945671081543,347.9264221191406,0.7265911102294922,134.85658264160156,161.56980895996094,139.8039093017578,158.31094360351562,1.8604121208190918
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,61382.4140625,55.67967987060547,3.2338356971740723,343.9337463378906,0.5747246742248535,144.98773193359375,161.52841186523438,149.94921875,158.24765014648438,1.7277840375900269
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,61335.46484375,55.263668060302734,3.2536182403564453,352.0123291015625,0.5862827301025391,144.9735107421875,161.52557373046875,149.92733764648438,158.27188110351562,1.6574138402938843
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,61602.4140625,52.8869514465332,3.297818422317505,341.9658508300781,0.5484776496887207,134.7939910888672,172.89382934570312,139.7804718017578,169.6359405517578,2.996520757675171
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,61654.484375,53.03468322753906,3.3197107315063477,345.9446716308594,0.5636839866638184,134.78717041015625,172.89553833007812,139.7703094482422,169.65625,2.228311061859131
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,61816.6015625,53.260807037353516,3.318263530731201,347.0824890136719,0.5521121025085449,134.7901611328125,172.90174865722656,139.7781219482422,169.6476593017578,2.194725513458252
