FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,34200.796875,454.33734130859375,3.951846122741699,144.92320251464844,172.78338623046875,149.6007843017578,169.8125
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,34344.00390625,465.74005126953125,3.873300552368164,144.92782592773438,172.7811737060547,149.59921264648438,169.8234405517578
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,40997.73828125,423.95623779296875,3.0720977783203125,134.85279846191406,161.5133056640625,139.57656860351562,158.49844360351562
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,40988.07421875,435.3087463378906,3.0729875564575195,134.84442138671875,161.5127716064453,139.58047485351562,158.48983764648438
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,38920.94140625,437.8451232910156,3.2278547286987305,134.83799743652344,161.49505615234375,139.54843139648438,158.50155639648438
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,39284.4453125,424.7099609375,3.2290945053100586,144.98399353027344,161.45127868652344,149.71484375,158.41796875
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,39625.1015625,433.4485778808594,3.165299415588379,144.97422790527344,161.44918823242188,149.69921875,158.4250030517578
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,32787.41015625,469.1763610839844,4.141202926635742,134.77325439453125,172.82928466796875,139.4679718017578,169.83828735351562
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,32850.05078125,473.83135986328125,4.217728614807129,134.76205444335938,172.83407592773438,139.45703125,169.85311889648438
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,32900.4921875,474.18475341796875,4.168259620666504,134.7662353515625,172.83460998535156,139.47030639648438,169.8429718017578
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,34078.7421875,441.6324157714844,3.9981250762939453,141.5398712158203,159.26431274414062,144.4171905517578,154.1257781982422
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,33428.28125,444.1202087402344,4.060384750366211,141.5380859375,159.26541137695312,144.4226531982422,154.1125030517578
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,33543.078125,441.5289611816406,4.06104850769043,141.5372314453125,159.26278686523438,144.4226531982422,154.10546875
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,32808.8046875,445.8564147949219,4.311199188232422,151.6346893310547,159.2168426513672,154.48828125,154.0539093017578
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,32346.890625,442.72705078125,4.425898551940918,151.6265869140625,159.1815643310547,154.4953155517578,154.04531860351562
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,35993.28125,438.5093688964844,3.975645065307617,141.47308349609375,170.54049682617188,144.38436889648438,165.43359375
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,36117.46484375,445.8726806640625,4.054584503173828,141.47174072265625,170.5464324951172,144.3625030517578,165.4539031982422
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,36200.8046875,438.93170166015625,3.9344587326049805,141.47061157226562,170.5513153076172,144.3585968017578,165.4421844482422
icdg02azq_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:19:49,88.435623,33417.30078125,438.2142028808594,4.223280906677246,151.55557250976562,170.44686889648438,154.4757843017578,165.38516235351562
icdg02b0q_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:21:36,88.435623,33621.06640625,438.3067626953125,4.207876205444336,151.55751037597656,170.4519500732422,154.4851531982422,165.37890625
icdg03bdq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:24:30,88.435623,37028.8984375,451.29437255859375,3.7264108657836914,134.77732849121094,161.5349578857422,139.5,158.515625
