FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,63187.109375,307.15753173828125,0.31247615814208984,144.97337341308594,172.8306884765625,149.87193298339844,169.54644775390625,0.9117373824119568
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,63569.3203125,310.7110595703125,0.27748680114746094,144.97027587890625,172.83314514160156,149.86883544921875,169.54888916015625,1.0247572660446167
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,63115.50390625,315.2901611328125,0.3321876525878906,134.8819580078125,161.54293823242188,139.7809295654297,158.25721740722656,1.3477205038070679
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,63096.44921875,326.5989990234375,0.32999515533447266,134.88047790527344,161.54486083984375,139.77944946289062,158.25914001464844,1.1723363399505615
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,63103.64453125,316.5188903808594,0.3420124053955078,134.8734130859375,161.54151916503906,139.7723846435547,158.2557830810547,1.2276313304901123
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,62858.71875,316.6916809082031,0.30526256561279297,145.01637268066406,161.493408203125,149.9162139892578,158.2069549560547,1.0492446422576904
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,63179.20703125,319.14959716796875,0.2882251739501953,145.00848388671875,161.49037170410156,149.9083251953125,158.20391845703125,0.972281813621521
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,63303.9765625,319.4784240722656,0.30891895294189453,134.80377197265625,172.86647033691406,139.70144653320312,169.5829315185547,1.5303311347961426
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,63700.24609375,321.3471984863281,0.2950267791748047,134.79598999023438,172.87315368652344,139.69366455078125,169.58961486816406,1.3640938997268677
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,63675.58203125,324.1753234863281,0.30159854888916016,134.79930114746094,172.87550354003906,139.69699096679688,169.59194946289062,1.361509084701538
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,63778.89453125,320.5522766113281,0.3588142395019531,141.57962036132812,159.26556396484375,144.7866668701172,153.976318359375,0.9018078446388245
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,63632.02734375,322.43792724609375,0.3665800094604492,141.5743408203125,159.26438903808594,144.78138732910156,153.97512817382812,0.8902432918548584
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,63681.33203125,321.5250244140625,0.35805320739746094,141.57444763183594,159.2592315673828,144.781494140625,153.96998596191406,0.9003670811653137
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,62813.51953125,327.2704162597656,0.3534727096557617,151.68104553222656,159.22528076171875,154.88941955566406,153.93553161621094,0.8706982135772705
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,63160.265625,322.25799560546875,0.33051300048828125,151.67198181152344,159.2053985595703,154.88037109375,153.91563415527344,0.8706504702568054
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,63652.83984375,314.87957763671875,0.37410640716552734,141.51255798339844,170.53701782226562,144.71875,165.2512664794922,0.8867232799530029
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,64432.703125,315.07916259765625,0.27002716064453125,141.50836181640625,170.53872680664062,144.7145538330078,165.25296020507812,0.7753982543945312
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,64217.26953125,311.4599914550781,0.2840108871459961,141.510009765625,170.54074096679688,144.71621704101562,165.25497436523438,0.8668389320373535
