FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,64281.04296875,117.56365203857422,3.2375707626342773,313.3824157714844,0.30213069915771484,144.97311401367188,172.83103942871094,149.9601593017578,169.57968139648438,0.9271265268325806
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,64654.53125,117.6263656616211,3.25434947013855,318.1266784667969,0.2683277130126953,144.9700164794922,172.83348083496094,149.953125,169.59609985351562,1.0248966217041016
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,64266.96484375,115.41141510009766,3.2754933834075928,317.1949462890625,0.3180971145629883,134.8817901611328,161.5430908203125,139.88671875,158.3046875,1.3640875816345215
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,64250.98828125,115.35625457763672,3.310021162033081,328.4776916503906,0.3157930374145508,134.88034057617188,161.54505920410156,139.8820343017578,158.3046875,1.185038685798645
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,64255.4765625,115.31775665283203,3.2815799713134766,318.06121826171875,0.3283357620239258,134.87327575683594,161.5417022705078,139.87344360351562,158.29843139648438,1.24378502368927
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,63904.890625,115.1373062133789,3.3150548934936523,322.58404541015625,0.3010578155517578,145.0164794921875,161.49273681640625,149.96249389648438,158.2421875,1.0565822124481201
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,64194.25390625,115.46572875976562,3.3364920616149902,327.82940673828125,0.2872476577758789,145.0085906982422,161.4905548095703,149.9406280517578,158.26406860351562,0.9641430974006653
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,64501.5703125,115.28022766113281,3.2601890563964844,320.48443603515625,0.29140281677246094,134.80349731445312,172.8671875,139.8273468017578,169.6171875,1.5240254402160645
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,64899.37890625,115.59707641601562,3.277393102645874,322.8017578125,0.27786731719970703,134.79574584960938,172.8730926513672,139.8203125,169.63906860351562,1.3550105094909668
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,64891.14453125,115.60588836669922,3.2749435901641846,324.4641418457031,0.2830333709716797,134.7990264892578,172.8754119873047,139.8289031982422,169.6281280517578,1.3574297428131104
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,64826.3515625,115.27140808105469,3.3011744022369385,326.36376953125,0.3558998107910156,141.57957458496094,159.26632690429688,144.796875,153.9421844482422,0.8987303376197815
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,64670.36328125,114.95872497558594,3.3190464973449707,328.7222595214844,0.3643474578857422,141.57427978515625,159.26441955566406,144.7859344482422,153.9460906982422,0.8882356882095337
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,64737.20703125,114.85272979736328,3.3048763275146484,326.75592041015625,0.3543100357055664,141.57440185546875,159.25921630859375,144.7960968017578,153.93124389648438,0.8981204628944397
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,63878.78515625,115.10030364990234,3.366420269012451,336.2758483886719,0.34726619720458984,151.68109130859375,159.22503662109375,154.8625030517578,153.88046264648438,0.8600096106529236
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,64226.546875,115.28710174560547,3.350015878677368,330.6246032714844,0.32519054412841797,151.6719970703125,159.2052764892578,154.8796844482422,153.87655639648438,0.8667386770248413
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,64496.359375,113.02214050292969,3.3559272289276123,321.29296875,0.38599395751953125,141.51275634765625,170.53684997558594,144.75546264648438,165.2140655517578,0.8837020397186279
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,65261.26171875,114.57610321044922,3.3824150562286377,323.838623046875,0.2841043472290039,141.5084991455078,170.53915405273438,144.73046875,165.2296905517578,0.7719637155532837
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,65097.1953125,115.03156280517578,3.34017014503479,316.5437927246094,0.2931051254272461,141.51022338867188,170.5406951904297,144.73983764648438,165.1875,0.8608573079109192
icdg02azq_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:19:49,88.435623,64421.8828125,112.37435913085938,3.2304883003234863,324.9246520996094,0.31385135650634766,151.6285858154297,170.5075225830078,154.86328125,165.1921844482422,0.9334569573402405
icdg02b0q_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:21:36,88.435623,64227.2734375,112.45904541015625,3.240914821624756,328.0614929199219,0.3535032272338867,151.62901306152344,170.5075225830078,154.87890625,165.20156860351562,0.7519098520278931
icdg03bdq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:24:30,88.435623,64536.27734375,115.33523559570312,3.322272300720215,329.3833312988281,0.37293529510498047,134.82644653320312,161.581298828125,139.8054656982422,158.32656860351562,0.7775591611862183
icdg03bfq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:26:17,88.435623,64668.83203125,115.43910217285156,3.310819387435913,328.96527099609375,0.3797149658203125,134.822998046875,161.57962036132812,139.8132781982422,158.3406219482422,0.8470920920372009
icdg03bgq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:28:04,88.435623,64848.51171875,115.3373794555664,3.2945594787597656,325.78759765625,0.32127952575683594,134.81765747070312,161.57626342773438,139.8203125,158.3117218017578,0.7546374201774597
icdg03bkq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:36:00,88.435623,64744.98046875,116.01920318603516,3.304305076599121,325.1593017578125,0.2744712829589844,144.9654541015625,161.5193634033203,149.91952514648438,158.25546264648438,0.9575896859169006
icdg03blq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:37:47,88.435623,64988.0546875,116.22827911376953,3.324125051498413,326.4600830078125,0.2796344757080078,144.95542907714844,161.51397705078125,149.89218139648438,158.26953125,0.8604281544685364
icdg03bpq_flt.fits,F160W,3,0.0,2,5,2014-04-11,11:45:44,88.435623,65159.390625,115.97931671142578,3.290412187576294,326.34967041015625,0.2786989212036133,134.7539520263672,172.88510131835938,139.7765655517578,169.6218719482422,0.664066731929779
icdg03bqq_flt.fits,F160W,3,0.0,2,5,2014-04-11,11:47:31,88.435623,65176.30078125,116.11638641357422,3.3034956455230713,324.08392333984375,0.3210592269897461,134.7484130859375,172.8897247314453,139.7578125,169.63827514648438,0.809046745300293
icdg03brq_flt.fits,F160W,3,0.0,2,5,2014-04-11,11:49:18,88.435623,65408.828125,116.15478515625,3.2926840782165527,318.7814025878906,0.27327728271484375,134.75355529785156,172.89041137695312,139.75625610351562,169.6328125,0.785496711730957
icdg03bvq_flt.fits,F160W,3,0.0,3,7,2014-04-11,11:57:14,88.435623,65097.22265625,117.59142303466797,3.273362398147583,308.7065124511719,0.26961708068847656,144.92759704589844,172.8402099609375,149.91952514648438,169.5867156982422,0.6955124735832214
icdg03bwq_flt.fits,F160W,3,0.0,3,7,2014-04-11,11:59:01,88.435623,65093.63671875,117.49141693115234,3.2164011001586914,316.1159362792969,0.24073123931884766,144.92706298828125,172.84494018554688,149.9406280517578,169.5929718017578,0.6827607154846191
icdg03bxq_flt.fits,F160W,3,0.0,3,7,2014-04-11,12:00:48,88.435623,64932.78515625,117.73241424560547,3.2696585655212402,323.0867614746094,0.2705841064453125,144.9314422607422,172.84747314453125,149.9070281982422,169.61172485351562,0.7048880457878113
icdg04c2q_flt.fits,F160W,4,1.0,0,1,2014-04-11,13:00:08,88.435623,64941.8359375,115.33538818359375,3.2919514179229736,319.4828186035156,0.37950706481933594,141.56353759765625,159.23512268066406,144.7742156982422,153.91250610351562,0.7885197997093201
