2M1821,L5,5,1.68,1.035, 0.025, 0.015, 0.019,5.6
SIMP0136,T2,12,1.04,0.69, 0.059, 0.058, 0.043,12.2
2M2139,T2.5,12.5,1.16,1.10, 0.33, 0.28, 0.0221,12.7
Luhman16B,T0.5,10.5,1.1,0.83, 0.11, 0.10, 0.14, 6.8
2M2228,T6.5,16.5,0.67,0.299, 0.0185, 0.0274, 0.05, 14.2
2M1207b,L5,5.5,1.57,1.9, 0.029, 0.0184, 0.27, 5.6
