FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,64284.078125,313.380279541,0.302104949951,144.973114014,172.831039429,149.960159302,169.579681396,0.927178442478
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,64657.2773438,318.125061035,0.268328666687,144.970016479,172.833480835,149.953125,169.596099854,1.02492904663
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,64268.8203125,317.19909668,0.318083763123,134.881790161,161.54309082,139.88671875,158.3046875,1.36403512955
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,64252.1367188,328.484405518,0.315794944763,134.880340576,161.545059204,139.882034302,158.3046875,1.18500685692
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,64256.5078125,318.064422607,0.328327178955,134.873275757,161.541702271,139.873443604,158.298431396,1.24374830723
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,63905.8085938,322.58895874,0.301052093506,145.016479492,161.492736816,149.962493896,158.2421875,1.05660140514
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,64195.4257812,327.83190918,0.28722858429,145.008590698,161.49055481,149.940628052,158.264068604,0.964096367359
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,64503.8125,320.481842041,0.291395187378,134.803497314,172.8671875,139.827346802,169.6171875,1.52398920059
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,64901.6015625,322.80758667,0.277857780457,134.79574585,172.873092651,139.8203125,169.639068604,1.3549901247
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,64893.4414062,324.463378906,0.28302192688,134.799026489,172.875411987,139.828903198,169.628128052,1.35739243031
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,64827.3515625,326.367431641,0.35590171814,141.579574585,159.266326904,144.796875,153.942184448,0.89869505167
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,64671.1523438,328.724243164,0.364346504211,141.574279785,159.264419556,144.785934448,153.946090698,0.888258039951
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,64738.0195312,326.75680542,0.354307174683,141.574401855,159.259216309,144.796096802,153.931243896,0.898095548153
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,63879.5898438,336.277191162,0.347255706787,151.681091309,159.225036621,154.862503052,153.880462646,0.860019564629
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,64227.4101562,330.622894287,0.325170516968,151.67199707,159.205276489,154.879684448,153.876556396,0.866773247719
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,64497.4609375,321.29397583,0.385980606079,141.512756348,170.536849976,144.755462646,165.214065552,0.883729875088
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,65262.71875,323.841949463,0.284090995789,141.508499146,170.539154053,144.73046875,165.229690552,0.771971642971
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,65098.3398438,316.538757324,0.293092727661,141.510223389,170.54069519,144.739837646,165.1875,0.860863208771
icdg02azq_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:19:49,88.435623,64423.71875,324.917266846,0.313838005066,151.628585815,170.507522583,154.86328125,165.192184448,0.933438301086
icdg02b0q_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:21:36,88.435623,64228.6367188,328.052978516,0.353496551514,151.629013062,170.507522583,154.87890625,165.201568604,0.751812398434
icdg03bdq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:24:30,88.435623,64537.109375,329.390411377,0.372932434082,134.826446533,161.581298828,139.805465698,158.326568604,0.777540802956
icdg03bfq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:26:17,88.435623,64669.5625,328.972473145,0.37971496582,134.822998047,161.579620361,139.813278198,158.340621948,0.847054421902
icdg03bgq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:28:04,88.435623,64849.3242188,325.79296875,0.321272850037,134.817657471,161.576263428,139.8203125,158.311721802,0.754625141621
icdg03bkq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:36:00,88.435623,64745.9414062,325.16116333,0.27445602417,144.965454102,161.519363403,149.919525146,158.255462646,0.957591414452
