1.593888878822326660e+00 1.001439314876553910e+00 1.009404137650052657e+00
1.623611211776733398e+00 9.990180317838625035e-01 1.016660452184777519e+00
1.653333306312561035e+00 1.000053377094148210e+00 1.010569441813363722e+00
1.947777867317199707e+00 9.939907795008520175e-01 1.005929311624017330e+00
1.977500081062316895e+00 1.005566113010910811e+00 1.014204181153785633e+00
2.007222175598144531e+00 1.002541859543748748e+00 9.916871922964775043e-01
3.187777757644653320e+00 9.964544536895751925e-01 1.012586496093828670e+00
3.217500209808349609e+00 9.985024976112998329e-01 1.011311466564085215e+00
3.247222423553466797e+00 1.001300906679471359e+00 1.001397506552328620e+00
3.541666746139526367e+00 9.985178541497610194e-01 1.021965987177388735e+00
3.571388959884643555e+00 9.987557118901947417e-01 1.015015362158463885e+00
3.601111173629760742e+00 1.002332761458426091e+00 9.983426814596071397e-01
4.781666755676269531e+00 1.003217048023919977e+00 9.880343504436869262e-01
4.811388969421386719e+00 1.002752227889058156e+00 1.001260572073791266e+00
4.841111183166503906e+00 1.003317050878419492e+00 9.993849245345742816e-01
5.135555267333984375e+00 9.989502909211501747e-01 1.001688647448831571e+00
5.165277957916259766e+00 1.002548772053190484e+00 1.008272619237861489e+00
5.195000171661376953e+00 9.998988340309405976e-01 9.986402338057661643e-01
6.390832901000976562e+00 1.000579102356208727e+00 9.661706355260147872e-01
6.420555591583251953e+00 1.002765844009405161e+00 9.976625579765815433e-01
6.450278282165527344e+00 1.000397195654039617e+00 1.010871337287161387e+00
6.744722366333007812e+00 9.985525201973313170e-01 9.733661940008649927e-01
6.774444580078125000e+00 1.001150831689162635e+00 9.852502634943107740e-01
6.804166793823242188e+00 1.000690320615124085e+00 1.006059511709364918e+00
8.062777519226074219e+00 9.927684358590248559e-01 9.987822177504075416e-01
8.092499732971191406e+00 9.978742223107260889e-01 9.827233420525539609e-01
8.122222900390625000e+00 9.995602912842870280e-01 9.931805614967926799e-01
8.416666984558105469e+00 9.982775752898871424e-01 9.860519479449805225e-01
8.446388244628906250e+00 9.979349472776379848e-01 9.978226568761783266e-01
8.476111412048339844e+00 1.000290828371682039e+00 9.957032096121023468e-01
