      78361.3      189.479      145.065      172.670      150.037      169.384
      78326.6      192.158      145.065      172.668      150.043      169.390
      78463.5      185.217      145.064      172.670      150.045      169.402
      78535.7      195.331      145.065      172.669      150.016      169.406
      78493.0      192.409      145.065      172.670      150.034      169.405
      78328.6      192.898      145.065      172.668      150.025      169.395
      78256.7      193.290      145.063      172.670      150.040      169.395
      78336.7      196.449      145.065      172.669      150.026      169.394
      78360.2      196.202      145.065      172.672      150.034      169.393
      78177.2      195.920      145.064      172.670      150.055      169.402
