FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF
icdg03biq_flt.fits,F125W,3,202.0,1,2,2014-04-11,11:32:20,88.435623,6.866455078125e-05,-11.377273559570312
icdg03bjq_flt.fits,F125W,3,202.0,1,2,2014-04-11,11:34:07,88.435623,0.00542449951171875,-11.359588623046875
icdg03bkq_flt.fits,F160W,3,202.0,1,3,2014-04-11,11:36:00,88.435623,-0.008697509765625,-11.295196533203125
icdg03blq_flt.fits,F160W,3,202.0,1,3,2014-04-11,11:37:47,88.435623,-0.0152435302734375,-11.3310546875
icdg03bmq_flt.fits,F125W,3,202.0,2,4,2014-04-11,11:40:17,88.435623,-10.110382080078125,0.07953643798828125
icdg03bnq_flt.fits,F125W,3,202.0,2,4,2014-04-11,11:42:04,88.435623,-10.114044189453125,0.0653533935546875
icdg03boq_flt.fits,F125W,3,202.0,2,4,2014-04-11,11:43:51,88.435623,-10.12200927734375,0.06183624267578125
icdg03bpq_flt.fits,F160W,3,202.0,2,5,2014-04-11,11:45:44,88.435623,-10.160659790039062,0.0439453125
icdg03bqq_flt.fits,F160W,3,202.0,2,5,2014-04-11,11:47:31,88.435623,-10.161468505859375,0.04925537109375
icdg03brq_flt.fits,F160W,3,202.0,2,5,2014-04-11,11:49:18,88.435623,-10.157150268554688,0.04973602294921875
icdg03bsq_flt.fits,F125W,3,202.0,3,6,2014-04-11,11:51:47,88.435623,-0.0343780517578125,0.037445068359375
icdg03btq_flt.fits,F125W,3,202.0,3,6,2014-04-11,11:53:34,88.435623,-0.0362396240234375,0.02228546142578125
icdg03buq_flt.fits,F125W,3,202.0,3,6,2014-04-11,11:55:21,88.435623,-0.0347137451171875,0.03521728515625
icdg03bvq_flt.fits,F160W,3,202.0,3,7,2014-04-11,11:57:14,88.435623,-0.0369110107421875,0.0116729736328125
icdg03bwq_flt.fits,F160W,3,202.0,3,7,2014-04-11,11:59:01,88.435623,-0.0339202880859375,0.009857177734375
icdg03bxq_flt.fits,F160W,3,202.0,3,7,2014-04-11,12:00:48,88.435623,-0.0366973876953125,0.01245880126953125
