icdg03bvq_flt.fits   3  8  F160W    2014-04-11   11:57:14     201.5495 88.4356
icdg03bwq_flt.fits   3  8  F160W    2014-04-11   11:59:01     201.5495 88.4356
icdg03bxq_flt.fits   3  8  F160W    2014-04-11   12:00:48     201.5495 88.4356
icdg04bzq_flt.fits   4  1  F125W    2014-04-11   12:54:41     226.5496 88.4356
icdg04c0q_flt.fits   4  1  F125W    2014-04-11   12:56:28     226.5496 88.4356
icdg04c1q_flt.fits   4  1  F125W    2014-04-11   12:58:15     226.5496 88.4356
icdg04c2q_flt.fits   4  2  F160W    2014-04-11   13:00:08     226.5496 88.4356
icdg04c4q_flt.fits   4  2  F160W    2014-04-11   13:01:55     226.5496 88.4356
icdg04c5q_flt.fits   4  2  F160W    2014-04-11   13:03:42     226.5496 88.4356
icdg04c6q_flt.fits   4  3  F125W    2014-04-11   13:06:11     226.5496 88.4356
icdg04c7q_flt.fits   4  3  F125W    2014-04-11   13:07:58     226.5496 88.4356
icdg04c8q_flt.fits   4  3  F125W    2014-04-11   13:09:45     226.5496 88.4356
icdg04c9q_flt.fits   4  4  F160W    2014-04-11   13:11:38     226.5496 88.4356
icdg04caq_flt.fits   4  4  F160W    2014-04-11   13:13:25     226.5496 88.4356
icdg04cbq_flt.fits   4  5  F125W    2014-04-11   13:15:55     226.5493 88.4356
icdg04ccq_flt.fits   4  5  F125W    2014-04-11   13:17:42     226.5493 88.4356
icdg04cdq_flt.fits   4  5  F125W    2014-04-11   13:19:29     226.5493 88.4356
icdg04ceq_flt.fits   4  6  F160W    2014-04-11   13:21:22     226.5493 88.4356
icdg04cfq_flt.fits   4  6  F160W    2014-04-11   13:23:09     226.5493 88.4356
icdg04cgq_flt.fits   4  6  F160W    2014-04-11   13:24:56     226.5493 88.4356
icdg04chq_flt.fits   4  7  F125W    2014-04-11   13:27:25     226.5493 88.4356
icdg04ciq_flt.fits   4  7  F125W    2014-04-11   13:29:12     226.5493 88.4356
icdg04cjq_flt.fits   4  7  F125W    2014-04-11   13:30:59     226.5493 88.4356
icdg04ckq_flt.fits   4  8  F160W    2014-04-11   13:32:52     226.5493 88.4356
icdg04clq_flt.fits   4  8  F160W    2014-04-11   13:34:39     226.5493 88.4356
icdg04cmq_flt.fits   4  8  F160W    2014-04-11   13:36:26     226.5493 88.4356
icdg05coq_flt.fits   5  1  F125W    2014-04-11   14:31:14     201.5497 88.4356
icdg05cpq_flt.fits   5  1  F125W    2014-04-11   14:33:01     201.5497 88.4356
icdg05cqq_flt.fits   5  1  F125W    2014-04-11   14:34:48     201.5497 88.4356
icdg05crq_flt.fits   5  2  F160W    2014-04-11   14:36:41     201.5497 88.4356
icdg05ctq_flt.fits   5  2  F160W    2014-04-11   14:38:28     201.5497 88.4356
icdg05cuq_flt.fits   5  2  F160W    2014-04-11   14:40:15     201.5497 88.4356
icdg05cvq_flt.fits   5  3  F125W    2014-04-11   14:42:44     201.5498 88.4356
icdg05cwq_flt.fits   5  3  F125W    2014-04-11   14:44:31     201.5498 88.4356
icdg05cxq_flt.fits   5  3  F125W    2014-04-11   14:46:18     201.5498 88.4356
icdg05cyq_flt.fits   5  4  F160W    2014-04-11   14:48:11     201.5498 88.4356
icdg05czq_flt.fits   5  4  F160W    2014-04-11   14:49:58     201.5498 88.4356
icdg05d0q_flt.fits   5  5  F125W    2014-04-11   14:52:28     201.5494 88.4356
icdg05d1q_flt.fits   5  5  F125W    2014-04-11   14:54:15     201.5494 88.4356
icdg05d2q_flt.fits   5  5  F125W    2014-04-11   14:56:02     201.5494 88.4356
icdg05d3q_flt.fits   5  6  F160W    2014-04-11   14:57:55     201.5494 88.4356
icdg05d4q_flt.fits   5  6  F160W    2014-04-11   14:59:42     201.5494 88.4356
icdg05d5q_flt.fits   5  6  F160W    2014-04-11   15:01:29     201.5494 88.4356
icdg05d6q_flt.fits   5  7  F125W    2014-04-11   15:03:58     201.5495 88.4356
icdg05d7q_flt.fits   5  7  F125W    2014-04-11   15:05:45     201.5495 88.4356
icdg05d8q_flt.fits   5  7  F125W    2014-04-11   15:07:32     201.5495 88.4356
icdg05d9q_flt.fits   5  8  F160W    2014-04-11   15:09:25     201.5495 88.4356
icdg05daq_flt.fits   5  8  F160W    2014-04-11   15:11:12     201.5495 88.4356
icdg05dbq_flt.fits   5  8  F160W    2014-04-11   15:12:59     201.5495 88.4356
icdg06ddq_flt.fits   6  1  F125W    2014-04-11   16:11:33     226.5496 88.4356
icdg06deq_flt.fits   6  1  F125W    2014-04-11   16:13:20     226.5496 88.4356
icdg06dfq_flt.fits   6  1  F125W    2014-04-11   16:15:07     226.5496 88.4356
icdg06dgq_flt.fits   6  2  F160W    2014-04-11   16:17:00     226.5496 88.4356
icdg06diq_flt.fits   6  2  F160W    2014-04-11   16:18:47     226.5496 88.4356
icdg06djq_flt.fits   6  2  F160W    2014-04-11   16:20:34     226.5496 88.4356
icdg06dkq_flt.fits   6  3  F125W    2014-04-11   16:23:03     226.5496 88.4356
icdg06dlq_flt.fits   6  3  F125W    2014-04-11   16:24:50     226.5496 88.4356
icdg06dmq_flt.fits   6  3  F125W    2014-04-11   16:26:37     226.5496 88.4356
icdg06dnq_flt.fits   6  4  F160W    2014-04-11   16:28:30     226.5496 88.4356
icdg06doq_flt.fits   6  4  F160W    2014-04-11   16:30:17     226.5496 88.4356
icdg06dpq_flt.fits   6  5  F125W    2014-04-11   16:32:47     226.5493 88.4356
icdg06dqq_flt.fits   6  5  F125W    2014-04-11   16:34:34     226.5493 88.4356
icdg06drq_flt.fits   6  5  F125W    2014-04-11   16:36:21     226.5493 88.4356
icdg06dsq_flt.fits   6  6  F160W    2014-04-11   16:38:14     226.5493 88.4356
icdg06dtq_flt.fits   6  6  F160W    2014-04-11   16:40:01     226.5493 88.4356
icdg06duq_flt.fits   6  6  F160W    2014-04-11   16:41:48     226.5493 88.4356
icdg06dvq_flt.fits   6  7  F125W    2014-04-11   16:44:17     226.5493 88.4356
icdg06dwq_flt.fits   6  7  F125W    2014-04-11   16:46:04     226.5493 88.4356
icdg06dxq_flt.fits   6  7  F125W    2014-04-11   16:47:51     226.5493 88.4356
icdg06dyq_flt.fits   6  8  F160W    2014-04-11   16:49:44     226.5493 88.4356
icdg06dzq_flt.fits   6  8  F160W    2014-04-11   16:51:31     226.5493 88.4356
icdg06e0q_flt.fits   6  8  F160W    2014-04-11   16:53:18     226.5493 88.4356
