FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CONTAMINATED
icdg10uhq_noramp.fits,F160W,10,129.0,0,3,2013-10-16,20:52:19,14.970785,15.997360229492188,8.306144714355469,129.1051483154297,222.27955627441406,43.0,1.0154061317443848,0.031653232872486115,2.5597193241119385,7974.39306640625,34.36124038696289,1.3931779861450195,1.5396943092346191,0.0
icdg10uiq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:52:58,29.663755,15.966697692871094,8.284378051757812,129.1713104248047,222.10850524902344,134.0,1.0024532079696655,-0.0022439586464315653,1.6999497413635254,7766.40966796875,25.722856521606445,1.4461848735809326,1.4337506294250488,0.0
icdg10ujq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:53:46,29.663755,15.95355224609375,8.282516479492188,129.1704864501953,222.10650634765625,134.0,1.0021759271621704,-0.010152888484299183,1.668716549873352,7753.5751953125,25.257728576660156,1.438337802886963,1.4269227981567383,0.0
icdg10ukq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:54:34,29.663755,15.930801391601562,8.257667541503906,129.1727752685547,222.10769653320312,19.0,1.0143778324127197,-0.05232524126768112,1.72889244556427,7770.5810546875,24.926937103271484,1.441889762878418,1.427186131477356,0.0
icdg10ulq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:55:22,29.663755,15.915885925292969,8.256111145019531,129.1716766357422,222.10791015625,20.0,1.0121597051620483,-0.006935829296708107,1.6986961364746094,7775.943359375,24.59565544128418,1.4398882389068604,1.4267311096191406,0.0
icdg10umq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:56:16,14.970785,16.0230712890625,8.308074951171875,129.09716796875,222.27938842773438,140.0,1.005622148513794,-0.012460286729037762,2.6142663955688477,7961.48193359375,36.350894927978516,1.3825781345367432,1.5300601720809937,0.0
icdg10unq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:56:49,14.970785,16.021240234375,8.294441223144531,129.10174560546875,222.27976989746094,43.0,1.0127519369125366,0.04398223012685776,2.5775601863861084,8015.35498046875,34.41300964355469,1.3959392309188843,1.5480400323867798,0.0
icdg10uoq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:57:22,14.970785,16.008468627929688,8.302375793457031,129.1028594970703,222.2823028564453,43.0,1.0172317028045654,-0.025845693424344063,2.6234917640686035,7945.53173828125,34.49123001098633,1.3888628482818604,1.5476161241531372,0.0
icdg10upq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:57:55,14.970785,16.018402099609375,8.317268371582031,129.10549926757812,222.28843688964844,139.0,1.0075421333312988,-0.07317379862070084,2.54245662689209,7953.31689453125,36.297237396240234,1.3940703868865967,1.5578629970550537,0.0
icdg10uqq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:58:28,14.970785,16.026046752929688,8.303428649902344,129.10107421875,222.28665161132812,43.0,1.010087013244629,0.0896686464548111,2.607962131500244,7980.0400390625,34.42121887207031,1.4010989665985107,1.5640789270401,0.0
icdg10urq_noramp.fits,F125W,10,129.0,0,6,2013-10-16,20:59:07,29.663755,15.960929870605469,8.275749206542969,129.1793212890625,222.10772705078125,134.0,1.0048271417617798,-0.014725513756275177,1.6877892017364502,7733.2197265625,25.174488067626953,1.4507930278778076,1.4381991624832153,0.0
