FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CONTAMINATED
icdg07p3q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,94.78475952148438,208.0731658935547,96.0,0.9964269995689392,-0.2429654598236084,1.8267364501953125,7686.95703125,23.709014892578125,1.355223536491394,1.3684382438659668,0.0
icdg07p4q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.0041961669921875,-0.0383453369140625,94.77771759033203,208.07870483398438,96.0,0.999528169631958,-0.1919056624174118,1.826849341392517,7728.369140625,23.74500274658203,1.3561424016952515,1.3655372858047485,0.0
icdg07p5q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0057373046875,-0.0059814453125,94.7790298461914,208.07717895507812,96.0,1.001476764678955,-0.24439452588558197,1.8216148614883423,7753.0283203125,22.64771842956543,1.3526065349578857,1.364922285079956,0.0
icdg07p6q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.0041961669921875,-0.0323944091796875,94.77779388427734,208.0788116455078,96.0,1.0033864974975586,-0.24395820498466492,1.8025442361831665,7765.30029296875,24.850162506103516,1.3621950149536133,1.375309944152832,0.0
icdg07p7q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,94.66313171386719,208.2217254638672,99.0,1.0056289434432983,-0.21743009984493256,2.4259722232818604,7965.6259765625,30.495824813842773,1.60916006565094,1.5129953622817993,0.0
icdg07p8q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.002227783203125,0.00160980224609375,94.66131591796875,208.2187042236328,99.0,1.0049870014190674,-0.2291821539402008,2.418905735015869,8025.98876953125,30.58287811279297,1.6189632415771484,1.5151530504226685,0.0
icdg07p9q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.00696563720703125,0.00481414794921875,94.65289306640625,208.22462463378906,99.0,1.006737232208252,-0.26573729515075684,2.4256439208984375,7958.30810546875,30.486244201660156,1.6204429864883423,1.521649718284607,0.0
icdg07paq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.0086212158203125,-0.007293701171875,94.65129089355469,208.227294921875,99.0,1.0063023567199707,-0.2469310760498047,2.4467639923095703,7967.85546875,30.518728256225586,1.6396458148956299,1.5271952152252197,0.0
icdg07pbq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.0067291259765625,0.00621795654296875,94.65837860107422,208.22500610351562,99.0,1.0092060565948486,-0.2871730923652649,2.436220645904541,7907.1083984375,30.434762954711914,1.6248575448989868,1.529652714729309,0.0
icdg07pcq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.106796264648438,-0.0346527099609375,104.88197326660156,208.04669189453125,70.0,1.0107131004333496,-0.3152547776699066,1.7101391553878784,7667.2763671875,24.90013313293457,1.2808544635772705,1.3260525465011597,1.0
icdg07pdq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:01:20,29.663755,10.094352722167969,-0.0240936279296875,104.8836441040039,208.05145263671875,113.0,1.0064570903778076,-0.27425524592399597,1.7738327980041504,7686.09130859375,25.125070571899414,1.276251196861267,1.3247098922729492,1.0
