,FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CR number
96,icdg08rsq_ima.fits,F125W,8,129.0,2,8,2013-10-16,17:58:01,29.663755,15.924293518066404,19.799972534179688,134.15176391601562,238.5409698486328,251.0,1.0004500150680542,0.0449051596224308,2.322108745574951,8065.21435546875,26.46017837524414,1.5315502882003784,1.8551580905914309,145
97,icdg08rtq_ima.fits,F125W,8,129.0,2,8,2013-10-16,17:58:49,29.663755,15.91552734375,19.791046142578125,134.13735961914062,238.52554321289062,250.0,0.9996799826622008,-0.020323049277067184,2.2769522666931152,8095.3505859375,26.16606712341309,1.5284037590026855,1.853178858757019,135
98,icdg08ruq_ima.fits,F160W,8,129.0,2,9,2013-10-16,17:59:43,14.970785000000001,15.952346801757812,19.782638549804688,134.1016845703125,238.7427215576172,248.0,0.9988000392913818,-0.03351612761616707,3.190559864044189,8196.076171875,36.82324600219727,1.381697177886963,1.545149564743042,29
99,icdg08rvq_ima.fits,F160W,8,129.0,2,9,2013-10-16,18:00:16,14.970785000000001,15.94329833984375,19.7840576171875,134.09494018554688,238.72959899902344,238.0,0.9975900053977966,-0.07149240374565125,3.18400239944458,8177.6708984375,36.76142120361328,1.3888007402420044,1.5724747180938718,26
100,icdg08rwq_ima.fits,F160W,8,129.0,2,9,2013-10-16,18:00:49,14.970785000000001,15.915428161621096,19.75963592529297,134.07469177246094,238.71116638183597,240.0,1.001439929008484,-0.055274348706007004,3.1254119873046875,8257.3515625,36.433021545410156,1.3882105350494385,1.5932084321975708,215
101,icdg08rxq_ima.fits,F160W,8,129.0,2,9,2013-10-16,18:01:22,14.970785000000001,15.92572784423828,19.79853820800781,134.09335327148438,238.74517822265625,239.0,0.9971500039100648,0.02004094980657101,3.155597925186157,8234.11328125,36.61790084838867,1.3950570821762085,1.5533416271209717,32
102,icdg08ryq_ima.fits,F160W,8,129.0,2,9,2013-10-16,18:01:55,14.970785000000001,15.912818908691404,19.78375244140625,134.07925415039062,238.7265167236328,239.0,1.0007799863815308,-0.13781286776065824,3.1885247230529785,8238.5341796875,36.847747802734375,1.3910717964172363,1.5739763975143433,170
103,icdg08rzq_ima.fits,F125W,8,129.0,3,10,2013-10-16,18:03:10,29.663755,26.076873779296875,19.73062896728516,144.32083129882812,238.46299743652344,250.0,0.9982500076293944,0.009858851321041584,2.373237609863281,,,1.7372422218322754,1.914844393730164,337
104,icdg08s0q_ima.fits,F125W,8,129.0,3,10,2013-10-16,18:03:58,29.663755,26.0792236328125,19.751060485839844,144.31410217285156,238.4752197265625,260.0,0.9986900091171264,-0.05955224111676216,2.339040756225586,8144.4287109375,26.628549575805664,1.72777259349823,1.911800742149353,242
105,icdg08s1q_ima.fits,F125W,8,129.0,3,10,2013-10-16,18:04:46,29.663755,26.15459442138672,19.83604431152344,144.35951232910156,238.51461791992188,262.0,0.99836003780365,0.021139202639460564,2.374765634536743,8196.6611328125,26.91124153137207,1.7640866041183472,1.9263596534729004,148
106,icdg08s2q_ima.fits,F125W,8,129.0,3,10,2013-10-16,18:05:34,29.663755,26.11408996582031,19.776092529296875,144.3506622314453,238.49899291992188,259.0,0.9991300106048584,-0.035945918411016464,2.402773141860962,8116.94482421875,27.05835723876953,1.7536150217056274,1.9267611503601076,144
107,icdg08s3q_ima.fits,F160W,8,129.0,3,11,2013-10-16,18:06:28,14.970785000000001,26.11680603027344,19.785873413085934,144.2362060546875,238.71090698242188,254.0,0.9957749843597412,-0.06271149218082428,3.237309455871582,8242.3076171875,37.18743896484375,1.5448551177978516,1.6626564264297483,37
108,icdg08s4q_ima.fits,F160W,8,129.0,3,11,2013-10-16,18:07:01,14.970785000000001,26.108139038085934,19.76018524169922,144.23226928710938,238.6953582763672,254.0,0.9986900091171264,-0.07157663255929947,3.2170603275299072,8224.4609375,37.03152084350586,1.5457296371459959,1.6776732206344604,27
109,icdg08s5q_ima.fits,F160W,8,129.0,3,11,2013-10-16,18:07:34,14.970785000000001,26.09781646728516,19.77446746826172,144.22256469726562,238.7058258056641,238.0,0.9989100098609924,-0.10907374322414398,3.32606840133667,8269.71484375,37.828609466552734,1.5277343988418581,1.6585737466812134,57
110,icdg08s6q_ima.fits,F160W,8,129.0,3,11,2013-10-16,18:08:07,14.970785000000001,26.10003662109375,19.77301025390625,144.2267303466797,238.7057037353516,238.0,0.9986900091171264,-0.11464087665081026,3.289923667907715,8210.787109375,37.524330139160156,1.5369515419006348,1.6545404195785522,35
111,icdg08s7q_ima.fits,F160W,8,129.0,3,11,2013-10-16,18:08:40,14.970785000000001,26.12632751464844,19.782188415527344,144.24298095703125,238.7251892089844,254.0,0.997040033340454,-0.0453270860016346,3.2007040977478027,8270.9326171875,36.96080017089844,1.5710318088531494,1.6406439542770386,37
112,icdg08s8q_ima.fits,F125W,8,129.0,3,12,2013-10-16,18:09:19,29.663755,26.116195678710934,19.771583557128906,144.34771728515625,238.4958953857422,250.0,0.9989100098609924,-0.015262679196894169,2.323244333267212,8151.71337890625,26.523122787475586,1.7542586326599119,1.9111319780349727,143
113,icdg08s9q_ima.fits,F125W,8,129.0,3,12,2013-10-16,18:10:07,29.663755,26.10440826416016,19.77716827392578,144.34060668945312,238.4996032714844,260.0,0.9984700083732604,-0.04747366160154343,2.291876077651977,8183.28173828125,26.325702667236328,1.750275731086731,1.920199275016785,133
114,icdg08saq_ima.fits,F125W,8,129.0,3,12,2013-10-16,18:10:55,29.663755,26.10578918457031,19.78351593017578,144.3336639404297,238.5039825439453,253.0,1.0003399848937988,-0.05112200602889061,2.3822333812713623,8164.5390625,26.94352149963379,1.7379872798919678,1.923051118850708,154
115,icdg08sbq_ima.fits,F125W,8,129.0,3,12,2013-10-16,18:11:43,29.663755,26.116249084472656,19.772850036621094,144.34487915039062,238.49366760253903,250.0,0.9990200400352478,0.012692398391664028,2.381084442138672,8192.75390625,26.953105926513672,1.7527186870574951,1.9151077270507808,133
116,icdg09sdq_ima.fits,F125W,9,101.0,0,0,2013-10-16,19:05:02,29.663755,0.04071044921875,0.04180908203125,99.81446838378906,213.11749267578125,114.0,0.9990200400352478,-0.0662999227643013,2.3831920623779297,8230.9951171875,26.99178695678711,1.34728741645813,1.3813178539276123,137
117,icdg09seq_ima.fits,F125W,9,101.0,0,0,2013-10-16,19:05:50,29.663755,0.03143310546875,0.038604736328125,99.81302642822266,213.1134796142578,114.0,0.9995700120925904,0.027482707053422928,2.2653217315673833,8232.0439453125,26.1739444732666,1.3414175510406494,1.3820686340332031,110
118,icdg09sfq_ima.fits,F125W,9,101.0,0,0,2013-10-16,19:06:38,29.663755,0.027099609375,0.040130615234375,99.8159637451172,213.1151123046875,114.0,0.99836003780365,-0.0980055183172226,2.300814151763916,8201.18359375,26.398983001708984,1.3367149829864502,1.37764310836792,112
119,icdg09sgq_ima.fits,F125W,9,101.0,0,0,2013-10-16,19:07:26,29.663755,0.03472900390625,0.0352020263671875,99.81134033203124,213.11778259277344,105.0,0.9991300106048584,0.04195694625377655,2.331840991973877,8266.134765625,26.65542411804199,1.338843584060669,1.3743621110916138,119
120,icdg09shq_ima.fits,F160W,9,101.0,0,1,2013-10-16,19:08:20,14.970785000000001,0.0487823486328125,0.028900146484375,99.72118377685548,213.28111267089844,101.0,0.9945099949836732,-0.06310931593179703,3.2258665561676025,8392.314453125,37.243141174316406,1.5349770784378052,1.5822765827178955,14
121,icdg09siq_ima.fits,F160W,9,101.0,0,1,2013-10-16,19:08:53,14.970785000000001,0.03778076171875,0.0265045166015625,99.71350860595705,213.2759704589844,101.0,0.995169997215271,-0.07435894757509233,3.1776680946350098,8373.6875,36.89573287963867,1.5520672798156738,1.5897343158721924,16
122,icdg09sjq_ima.fits,F160W,9,101.0,0,1,2013-10-16,19:09:26,14.970785000000001,0.0381927490234375,0.036834716796875,99.7218017578125,213.283447265625,98.0,0.9978100061416626,-0.06398200988769531,3.092763185501098,8346.826171875,36.293495178222656,1.5447759628295898,1.5849511623382568,20
123,icdg09skq_ima.fits,F160W,9,101.0,0,1,2013-10-16,19:09:59,14.970785000000001,0.03900146484375,0.014801025390625,99.7104721069336,213.28237915039062,98.0,0.9996249675750732,-0.04400629922747612,3.1059365272521973,8312.4638671875,36.351173400878906,1.5706229209899902,1.5941169261932373,21
124,icdg09slq_ima.fits,F160W,9,101.0,0,1,2013-10-16,19:10:32,14.970785000000001,0.04766845703125,0.02325439453125,99.7192840576172,213.2794647216797,111.0,0.9953899979591371,-0.027575301006436348,3.1473567485809326,8418.953125,36.72998809814453,1.5476988554000854,1.5817784070968628,23
125,icdg09smq_ima.fits,F125W,9,101.0,1,2,2013-10-16,19:11:47,29.663755,10.196510314941406,0.0294647216796875,109.9201202392578,213.09327697753903,114.0,1.0002299547195437,-0.08846161514520645,2.287417411804199,8122.7841796875,26.25607681274414,1.288155198097229,1.344081163406372,179
126,icdg09snq_ima.fits,F125W,9,101.0,1,2,2013-10-16,19:12:35,29.663755,10.20122528076172,0.02569580078125,109.91841888427734,213.09127807617188,114.0,0.9974800348281859,0.0003010400105267763,2.268787384033203,8136.48681640625,26.13622093200684,1.280017614364624,1.33852219581604,120
127,icdg09soq_ima.fits,F125W,9,101.0,1,2,2013-10-16,19:13:23,29.663755,10.195236206054688,0.01434326171875,109.9183349609375,213.0894470214844,114.0,0.998580038547516,0.002545991679653525,2.2620151042938232,8178.31640625,26.11656951904297,1.2805019617080688,1.3394217491149902,178
128,icdg09spq_ima.fits,F125W,9,101.0,1,2,2013-10-16,19:14:11,29.663755,10.215309143066406,0.01739501953125,109.91954803466795,213.0885772705078,114.0,0.9997900128364564,0.01488293241709471,2.2457351684570312,8156.7744140625,25.990779876708984,1.2767986059188845,1.336662769317627,130
129,icdg09sqq_ima.fits,F160W,9,101.0,1,3,2013-10-16,19:15:05,14.970785000000001,10.205665588378906,0.0205078125,109.83914947509766,213.24937438964844,109.0,0.9973700046539308,-0.02616726979613304,3.1109495162963867,8406.6201171875,36.471527099609375,1.3824503421783447,1.4934955835342407,24
130,icdg09srq_ima.fits,F160W,9,101.0,1,3,2013-10-16,19:15:38,14.970785000000001,10.2181396484375,0.0152435302734375,109.84071350097656,213.25436401367188,110.0,0.9989100098609924,-0.0679984986782074,3.073533535003662,8322.330078125,36.14089584350586,1.383130431175232,1.5028982162475586,22
