FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg07p7q_flt.fits,F160W,7,101.0,0,1,14.970785000000001,0.0,0.0,94.66263580322266,208.22239685058597,101.0,0.9984700083732604,-0.1991820335388184,2.5829029083251958,8332.341796875,32.96091461181641,1.6105057001113892,1.5156590938568115
icdg07p8q_flt.fits,F160W,7,101.0,0,1,14.970785000000001,-0.0024261474609375,0.00199127197265625,94.66096496582031,208.2176513671875,98.0,0.9990200400352478,-0.18854308128356934,2.560965061187744,8436.521484375,32.93051147460937,1.623649001121521,1.5146136283874512
icdg07p9q_flt.fits,F160W,7,101.0,0,1,14.970785000000001,0.0070648193359375,0.004730224609375,94.65192413330078,208.2258453369141,100.0,0.9991300106048584,-0.19943976402282715,2.564749240875244,8375.943359375,32.892440795898445,1.6257429122924805,1.5215965509414673
icdg07paq_flt.fits,F160W,7,101.0,0,1,14.970785000000001,0.008636474609375,-0.00726318359375,94.65000915527344,208.2277069091797,111.0,0.9982500076293944,-0.18924041092395785,2.5023326873779297,8339.744140625,32.471160888671875,1.64192533493042,1.525544285774231
icdg07pbq_flt.fits,F160W,7,101.0,0,1,14.970785000000001,-0.006866455078125,0.006439208984375,94.65724182128906,208.225830078125,101.0,1.0004500150680542,-0.23255573213100436,2.5515036582946777,8303.6201171875,32.736820220947266,1.620328664779663,1.5297294855117798
icdg07pgq_flt.fits,F160W,7,101.0,1,3,14.970785000000001,10.13689422607422,-0.0076446533203125,104.79151153564452,208.2001037597656,108.0,0.9993500113487244,-0.11875411123037337,2.574137687683105,8272.19140625,32.84530639648437,1.426248550415039,1.4631001949310305
icdg07phq_flt.fits,F160W,7,101.0,1,3,14.970785000000001,10.131935119628906,-0.000732421875,104.79491424560548,208.1968688964844,110.0,0.9993500113487244,-0.1294894814491272,2.571422576904297,8324.103515625,32.881179809570305,1.4298323392868042,1.4629745483398438
icdg07piq_flt.fits,F160W,7,101.0,1,3,14.970785000000001,10.130821228027344,-0.0010986328125,104.79704284667969,208.1975555419922,110.0,0.998140037059784,-0.14664342999458313,2.57564377784729,8287.849609375,32.870594024658196,1.4226748943328855,1.4582736492156982
icdg07pjq_flt.fits,F160W,7,101.0,1,3,14.970785000000001,10.146339416503906,0.0052947998046875,104.80008697509766,208.1945953369141,111.0,0.99726003408432,-0.16302426159381864,2.64502501487732,8358.5625,33.376144409179695,1.4210649728775024,1.4590461254119873
icdg07pkq_flt.fits,F160W,7,101.0,1,3,14.970785000000001,10.144149780273438,0.00494384765625,104.796875,208.20199584960938,107.0,0.9988000392913818,-0.061438683420419686,2.54374098777771,8335.9375,32.72180938720703,1.4089269638061523,1.4590039253234863
icdg07ppq_flt.fits,F160W,7,101.0,2,5,14.970785000000001,0.0617523193359375,11.259971618652346,94.67214965820312,219.54830932617188,72.0,1.0003399848937988,-0.05951005220413207,2.631488561630249,8370.0029296875,33.302528381347656,1.6678547859191897,1.8140915632247925
icdg07pqq_flt.fits,F160W,7,101.0,2,5,14.970785000000001,0.048614501953125,11.256866455078123,94.67816162109376,219.56922912597656,71.0,0.9995700120925904,-0.05565791577100754,2.646376609802246,8311.4931640625,33.33752822875977,1.6400835514068604,1.8117668628692627
icdg07prq_flt.fits,F160W,7,101.0,2,5,14.970785000000001,0.0437469482421875,11.25737762451172,94.68543243408205,219.56837463378903,72.0,1.0012199878692627,-0.05460067838430405,2.6183056831359863,8348.158203125,33.197933197021484,1.634740710258484,1.8000442981719968
icdg07psq_flt.fits,F160W,7,101.0,2,5,14.970785000000001,0.05413818359375,11.25737762451172,94.69227600097656,219.5521545410156,72.0,0.999459981918335,-0.0928771272301674,2.6862235069274902,8320.5185546875,33.598655700683594,1.6256453990936282,1.8122091293334959
icdg07ptq_flt.fits,F160W,7,101.0,2,5,14.970785000000001,0.04193115234375,11.277488708496096,94.67191314697266,219.585693359375,74.0,1.0001200437545776,-0.09912388771772383,2.660965204238892,8364.23046875,33.482276916503906,1.6430526971817017,1.7931271791458132
icdg07pyq_flt.fits,F160W,7,101.0,3,7,14.970785000000001,10.190765380859377,11.246192932128906,104.81990814208984,219.53741455078125,72.0,1.0003399848937988,-0.034175954759120934,2.551590204238892,8331.974609375,32.76626968383789,1.4423819780349731,1.7456710338592532
icdg07pzq_flt.fits,F160W,7,101.0,3,7,14.970785000000001,10.180068969726562,11.243186950683594,104.8155746459961,219.5370635986328,75.0,0.9991300106048584,-0.11232644319534303,2.5661303997039795,8308.064453125,32.832015991210945,1.4444534778594968,1.7431188821792605
icdg07q0q_flt.fits,F160W,7,101.0,3,7,14.970785000000001,10.180465698242188,11.244163513183594,104.818115234375,219.5364227294922,75.0,0.999459981918335,-0.05938224866986275,2.5881102085113525,8252.2197265625,32.91213607788086,1.4418346881866455,1.7434113025665283
icdg07q1q_flt.fits,F160W,7,101.0,3,7,14.970785000000001,10.197792053222656,11.249183654785156,104.82489013671876,219.5283508300781,75.0,0.9984700083732604,-0.07246227562427521,2.597879409790039,8343.3564453125,33.06538772583008,1.4355051517486572,1.7424296140670776
icdg07q2q_flt.fits,F160W,7,101.0,3,7,14.970785000000001,10.169036865234377,11.28241729736328,104.8253936767578,219.5401763916016,71.0,0.9995700120925904,0.02412707358598709,2.6045405864715576,8318.755859375,33.08215713500977,1.4413446187973022,1.7473076581954956
