FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,FIELD10,FIELD11,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg10u0q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:40:40,29.663755,15.8975830078125,8.265274047851562,15.8975830078125,8.265274047851562,129.1981658935547,222.0923614501953,0.0,0.9923099875450134,-0.06523764878511429,1.5512499809265137,8144.125,21.57927131652832,1.476383090019226,1.4179691076278687
icdg10u1q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:41:28,29.663755,15.903305053710938,8.269996643066406,15.903305053710938,8.269996643066406,129.18759155273438,222.10006713867188,0.0,0.9928600192070007,-0.04615737497806549,1.5900986194610596,8133.96337890625,21.794832229614258,1.4596987962722778,1.4090051651000977
icdg10u2q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:42:16,29.663755,15.895004272460938,8.270843505859375,15.895004272460938,8.270843505859375,129.18667602539062,222.0960693359375,0.0,0.9924200177192688,-0.04232492670416832,1.593727707862854,8166.93115234375,21.84132957458496,1.4643666744232178,1.4209545850753784
icdg10u3q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:43:04,29.663755,15.895721435546875,8.260429382324219,15.895721435546875,8.260429382324219,129.18324279785156,222.0977020263672,0.0,0.9927499890327454,-0.06013646349310875,1.588277816772461,8167.13134765625,21.809934616088867,1.4548348188400269,1.40866219997406
icdg10u4q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:43:58,14.970785000000001,15.991004943847654,8.310165405273438,15.991004943847656,8.310165405273438,129.11109924316406,222.27342224121094,2.0,0.9945099949836731,0.03027060627937317,2.12113356590271,8355.6337890625,30.2565860748291,1.3901667594909668,1.5193119049072266
icdg10u5q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:44:31,14.970785000000001,15.977294921875,8.298324584960938,15.977294921875,8.298324584960938,129.1099853515625,222.27392578125,2.0,0.9972600340843201,-0.013516409322619438,2.140686273574829,8322.0400390625,30.328786849975586,1.3971211910247803,1.5268473625183105
icdg10u6q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:45:04,14.970785000000001,15.97906494140625,8.304336547851562,15.97906494140625,8.304336547851562,129.1024169921875,222.27679443359375,2.0,0.9927499890327454,-0.003888344392180443,2.0888872146606445,8319.080078125,30.03726577758789,1.3968138694763184,1.5252670049667358
icdg10u7q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:45:37,14.970785000000001,15.993927001953125,8.299659729003906,15.993927001953125,8.299659729003906,129.1066131591797,222.2771759033203,2.0,0.9971500039100647,-0.005702463909983635,2.1029245853424072,8293.79296875,30.086898803710938,1.4014192819595337,1.532407283782959
icdg10u8q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:46:10,14.970785000000001,15.967140197753904,8.293815612792969,15.967140197753906,8.293815612792969,129.1036376953125,222.27276611328125,2.0,0.9930800199508667,-0.007888454012572765,2.0996077060699463,8336.7744140625,30.116199493408203,1.3985047340393066,1.5250965356826782
icdg10u9q_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:46:49,29.663755,15.88555145263672,8.264884948730469,15.885551452636719,8.264884948730469,129.18246459960938,222.10630798339844,0.0,0.991100013256073,-0.04352917894721031,1.599435567855835,8160.07666015625,21.86916160583496,1.4636310338974,1.4259518384933472
icdg10uaq_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:47:37,29.663755,15.901611328125,8.276473999023438,15.901611328125,8.276473999023438,129.1785125732422,222.1021728515625,0.0,0.9930800199508667,-0.06748327612876892,1.6011195182800293,8150.46435546875,21.871538162231445,1.4590544700622559,1.4243788719177246
icdg10ubq_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:48:25,29.663755,15.89434051513672,8.279220581054688,15.894340515136719,8.279220581054688,129.17605590820312,222.10635375976562,0.0,0.990494966506958,-0.05934162810444832,1.6526052951812744,8197.21875,22.20911979675293,1.4516818523406982,1.4255338907241821
icdg10ucq_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:49:13,29.663755,15.882339477539062,8.249313354492188,15.882339477539062,8.249313354492188,129.17828369140625,222.100341796875,0.0,0.9919799566268921,-0.06235760822892189,1.6155178546905518,8177.09716796875,21.975902557373047,1.4528590440750122,1.4243621826171875
icdg10udq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:50:07,14.970785000000001,15.990684509277346,8.313217163085938,15.990684509277344,8.313217163085938,129.1034698486328,222.27584838867188,2.0,0.9924200177192688,-0.03805709630250931,2.0745773315429688,8345.0986328125,29.98738670349121,1.3921672105789185,1.525783658027649
icdg10ueq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:50:40,14.970785000000001,15.973236083984375,8.298835754394531,15.973236083984375,8.298835754394531,129.09715270996094,222.2843780517578,2.0,0.9958299994468689,-0.03157682716846466,2.0701870918273926,8331.71484375,29.948360443115234,1.3918884992599487,1.5433679819107056
icdg10ufq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:51:13,14.970785000000001,15.97064971923828,8.300605773925781,15.970649719238281,8.300605773925781,129.09823608398438,222.28140258789062,2.0,0.995169997215271,-0.03855019062757492,2.1045308113098145,8327.84375,30.133583068847656,1.3876850605010986,1.528321623802185
