FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg08r5q_myfits.fits,F160W,8,129.0,1,3,2013-10-16,17:40:33,14.970785000000001,26.06842803955078,8.277412414550781,139.21649169921878,222.2655029296875,10.0,1.0046300888061523,-0.027800209820270542,2.060314655303955,8922.347869560364,26.260285447126442,1.5000039339065552,1.5410735607147217
icdg08r6q_myfits.fits,F160W,8,129.0,1,3,2013-10-16,17:41:06,14.970785000000001,26.07678985595703,8.281822204589844,139.20994567871094,222.2628173828125,10.0,1.0027600526809692,0.01196918822824955,2.066600561141968,8914.465965930149,26.24870583461335,1.5004888772964478,1.5517635345458984
icdg08r7q_myfits.fits,F160W,8,129.0,1,3,2013-10-16,17:41:39,14.970785000000001,26.05645751953125,8.282196044921875,139.21232604980472,222.2714691162109,10.0,1.0006699562072754,-0.019090753048658368,2.0423266887664795,8908.827476101394,26.2413972953498,1.5015991926193235,1.5665552616119385
icdg08r8q_myfits.fits,F125W,8,129.0,2,4,2013-10-16,17:42:55,29.663755,15.921859741210938,19.534225463867188,129.12510681152344,233.46592712402344,2.0,0.9927499890327454,-0.007111295126378536,1.5613811016082764,8402.680039307143,18.404133828101628,1.5120553970336914,1.827509522438049
icdg08r9q_myfits.fits,F125W,8,129.0,2,4,2013-10-16,17:43:43,29.663755,15.95001983642578,19.574188232421875,129.13133239746094,233.47445678710938,2.0,0.9936299920082092,0.021935449913144108,1.5415056943893433,,,1.5194330215454102,1.8380496501922607
icdg08raq_myfits.fits,F125W,8,129.0,2,4,2013-10-16,17:44:31,29.663755,15.930442810058596,19.5516357421875,129.13014221191406,233.48150634765625,2.0,0.9957199692726136,0.0032379066105932,1.5648336410522459,8431.655652418116,18.422590102702543,1.5131160020828247,1.8429102897644043
icdg08rbq_myfits.fits,F125W,8,129.0,2,4,2013-10-16,17:45:19,29.663755,15.923377990722654,19.555572509765625,129.1331787109375,233.4710693359375,2.0,0.9935200214385986,-0.011299258098006248,1.5295249223709106,8421.826546070903,18.411771976738905,1.523047924041748,1.8393200635910036
icdg08rcq_myfits.fits,F160W,8,129.0,2,5,2013-10-16,17:46:13,14.970785000000001,15.973861694335938,19.68072509765625,129.08018493652344,233.70030212402344,8.0,1.0005600452423096,0.0028296522796154022,1.9881534576416016,8641.595831496948,26.269569813091582,1.3849451541900637,1.5896060466766355
icdg08rdq_myfits.fits,F160W,8,129.0,2,5,2013-10-16,17:46:46,14.970785000000001,15.982986450195312,19.67529296875,129.08354187011722,233.69630432128903,8.0,0.9961599707603456,-0.03139202296733856,2.0100679397583012,8631.539665604936,26.24821493775089,1.3922064304351809,1.6061904430389404
icdg08req_myfits.fits,F160W,8,129.0,2,5,2013-10-16,17:47:19,14.970785000000001,15.982406616210938,19.688629150390625,129.07948303222656,233.70068359375,8.0,0.996820032596588,0.03443080931901932,2.006947755813598,8670.99802445407,26.29898339569453,1.3899803161621094,1.5977203845977783
icdg08rfq_myfits.fits,F160W,8,129.0,2,5,2013-10-16,17:47:52,14.970785000000001,15.96953582763672,19.683250427246094,129.08436584472656,233.69851684570312,8.0,0.9995700120925904,0.0006678724894300102,1.9659419059753416,8663.986241145598,26.29993459048214,1.3831275701522827,1.5895984172821045
icdg08rgq_myfits.fits,F160W,8,129.0,2,5,2013-10-16,17:48:25,14.970785000000001,15.9854736328125,19.697250366210934,129.08493041992188,233.7092437744141,8.0,0.9991300106048584,-0.045447714626789086,1.984280347824097,8678.068736971361,26.313929447686615,1.3858046531677246,1.5872253179550169
icdg08rhq_myfits.fits,F125W,8,129.0,3,6,2013-10-16,17:49:40,29.663755,26.04663848876953,19.568679809570312,139.28990173339844,233.4573516845703,2.0,0.9900000095367432,-0.08360480517148973,1.6011340618133545,8423.005544395539,17.89684796063916,1.7109073400497437,1.8989595174789429
icdg08riq_myfits.fits,F125W,8,129.0,3,6,2013-10-16,17:50:28,29.663755,26.06885528564453,19.530929565429688,139.32023620605472,233.42984008789062,2.0,0.9900000095367432,-0.054969340562820435,1.6085976362228394,8455.99757574305,17.958412503152037,1.7220481634140017,1.8760849237442017
icdg08rjq_myfits.fits,F125W,8,129.0,3,6,2013-10-16,17:51:16,29.663755,26.060089111328125,19.565650939941406,139.31304931640622,233.4470672607422,2.0,0.9929699897766112,-0.051513221114873886,1.6056042909622192,8443.835160884424,17.934401999091676,1.731147289276123,1.89730966091156
icdg08rkq_myfits.fits,F125W,8,129.0,3,6,2013-10-16,17:52:04,29.663755,26.04962158203125,19.562042236328125,139.31649780273438,233.4381866455078,2.0,0.991979956626892,-0.04989195615053177,1.6123820543289185,8492.657719406916,17.98309000476112,1.7320175170898438,1.8844544887542725
