FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CONTAMINATED
icdg07p3q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,94.78510284423828,208.07212829589844,70.0,0.9980239272117615,-0.1640336513519287,1.761175513267517,8295.12109375,29.880712509155273,1.3561792373657227,1.3658685684204102,0.0
icdg07p4q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.00420379638671875,-0.0383453369140625,94.77803802490234,208.07757568359375,70.0,1.0006659030914307,-0.13439494371414185,1.7568957805633545,8337.947265625,29.88094139099121,1.3571665287017822,1.3630870580673218,0.0
icdg07p5q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0057373046875,-0.0059814453125,94.77936553955078,208.07611083984375,70.0,1.0038670301437378,-0.18458789587020874,1.7755396366119385,8362.505859375,29.12141990661621,1.3535735607147217,1.362383246421814,0.0
icdg07p6q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.0041961669921875,-0.0323944091796875,94.77810668945312,208.07766723632812,70.0,1.0050625801086426,-0.1858358234167099,1.764588713645935,8358.4228515625,30.825809478759766,1.3632429838180542,1.3727847337722778,0.0
icdg07p7q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,94.66261291503906,208.2202606201172,101.0,1.0066848993301392,-0.2490900456905365,2.3722352981567383,8421.275390625,42.90041732788086,1.6101062297821045,1.5109455585479736,0.0
icdg07p8q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.002227783203125,0.00160980224609375,94.66062927246094,208.21632385253906,98.0,0.999518871307373,-0.23220981657505035,2.4202001094818115,8521.833984375,43.12213134765625,1.623865008354187,1.5137183666229248,0.0
icdg07p9q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.00696563720703125,0.00481414794921875,94.65239715576172,208.22308349609375,101.0,1.006860613822937,-0.2770446240901947,2.417689561843872,8427.38671875,43.12795639038086,1.621198296546936,1.5195437669754028,0.0
icdg07paq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.00862884521484375,-0.007293701171875,94.65079498291016,208.22576904296875,101.0,1.006289005279541,-0.3205561339855194,2.4039909839630127,8438.10546875,43.06268310546875,1.6404032707214355,1.5250396728515625,0.0
icdg07pbq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.0067291259765625,0.00621795654296875,94.65882110595703,208.22264099121094,99.0,1.0094977617263794,-0.2916480600833893,2.4269418716430664,8370.111328125,43.14091110229492,1.6244856119155884,1.5265793800354004,0.0
icdg07pcq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.11962890625,-0.06610107421875,104.88172912597656,208.045654296875,69.0,1.010140061378479,-0.272575706243515,1.677763819694519,8215.396484375,30.85230827331543,1.2794616222381592,1.324048399925232,1.0
