file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time
icdg08qzq_flt.fits,F125W,8,129.000793,1,2,2013-10-16,17:36:09,29.663755
icdg08r0q_flt.fits,F125W,8,129.000793,1,2,2013-10-16,17:36:57,29.663755
icdg08r1q_flt.fits,F125W,8,129.000793,1,2,2013-10-16,17:37:45,29.663755
icdg08r2q_flt.fits,F125W,8,129.000793,1,2,2013-10-16,17:38:33,29.663755
icdg08r3q_flt.fits,F160W,8,129.000793,1,3,2013-10-16,17:39:27,14.970785
icdg08r4q_flt.fits,F160W,8,129.000793,1,3,2013-10-16,17:40:00,14.970785
icdg08r5q_flt.fits,F160W,8,129.000793,1,3,2013-10-16,17:40:33,14.970785
icdg08r6q_flt.fits,F160W,8,129.000793,1,3,2013-10-16,17:41:06,14.970785
icdg08r7q_flt.fits,F160W,8,129.000793,1,3,2013-10-16,17:41:39,14.970785
icdg08r8q_flt.fits,F125W,8,129.000305,2,4,2013-10-16,17:42:55,29.663755
icdg08r9q_flt.fits,F125W,8,129.000305,2,4,2013-10-16,17:43:43,29.663755
icdg08raq_flt.fits,F125W,8,129.000305,2,4,2013-10-16,17:44:31,29.663755
icdg08rbq_flt.fits,F125W,8,129.000305,2,4,2013-10-16,17:45:19,29.663755
icdg08rcq_flt.fits,F160W,8,129.000305,2,5,2013-10-16,17:46:13,14.970785
icdg08rdq_flt.fits,F160W,8,129.000305,2,5,2013-10-16,17:46:46,14.970785
icdg08req_flt.fits,F160W,8,129.000305,2,5,2013-10-16,17:47:19,14.970785
icdg08rfq_flt.fits,F160W,8,129.000305,2,5,2013-10-16,17:47:52,14.970785
icdg08rgq_flt.fits,F160W,8,129.000305,2,5,2013-10-16,17:48:25,14.970785
icdg08rhq_flt.fits,F125W,8,129.0009,3,6,2013-10-16,17:49:40,29.663755
icdg08riq_flt.fits,F125W,8,129.0009,3,6,2013-10-16,17:50:28,29.663755
icdg08rjq_flt.fits,F125W,8,129.0009,3,6,2013-10-16,17:51:16,29.663755
icdg08rkq_flt.fits,F125W,8,129.0009,3,6,2013-10-16,17:52:04,29.663755
icdg08rlq_flt.fits,F160W,8,129.0009,3,7,2013-10-16,17:52:58,14.970785
icdg08rmq_flt.fits,F160W,8,129.0009,3,7,2013-10-16,17:53:31,14.970785
icdg08rnq_flt.fits,F160W,8,129.0009,3,7,2013-10-16,17:54:04,14.970785
icdg08roq_flt.fits,F160W,8,129.0009,3,7,2013-10-16,17:54:37,14.970785
icdg08rpq_flt.fits,F160W,8,129.0009,3,7,2013-10-16,17:55:10,14.970785
icdg08rqq_flt.fits,F125W,8,129.000305,2,8,2013-10-16,17:56:25,29.663755
icdg08rrq_flt.fits,F125W,8,129.000305,2,8,2013-10-16,17:57:13,29.663755
icdg08rsq_flt.fits,F125W,8,129.000305,2,8,2013-10-16,17:58:01,29.663755
icdg08rtq_flt.fits,F125W,8,129.000305,2,8,2013-10-16,17:58:49,29.663755
icdg08ruq_flt.fits,F160W,8,129.000305,2,9,2013-10-16,17:59:43,14.970785
icdg08rvq_flt.fits,F160W,8,129.000305,2,9,2013-10-16,18:00:16,14.970785
icdg08rwq_flt.fits,F160W,8,129.000305,2,9,2013-10-16,18:00:49,14.970785
icdg08rxq_flt.fits,F160W,8,129.000305,2,9,2013-10-16,18:01:22,14.970785
icdg08ryq_flt.fits,F160W,8,129.000305,2,9,2013-10-16,18:01:55,14.970785
icdg08rzq_flt.fits,F125W,8,129.0009,3,10,2013-10-16,18:03:10,29.663755
icdg08s0q_flt.fits,F125W,8,129.0009,3,10,2013-10-16,18:03:58,29.663755
icdg08s1q_flt.fits,F125W,8,129.0009,3,10,2013-10-16,18:04:46,29.663755
icdg08s2q_flt.fits,F125W,8,129.0009,3,10,2013-10-16,18:05:34,29.663755
icdg08s3q_flt.fits,F160W,8,129.0009,3,11,2013-10-16,18:06:28,14.970785
icdg08s4q_flt.fits,F160W,8,129.0009,3,11,2013-10-16,18:07:01,14.970785
icdg08s5q_flt.fits,F160W,8,129.0009,3,11,2013-10-16,18:07:34,14.970785
icdg08s6q_flt.fits,F160W,8,129.0009,3,11,2013-10-16,18:08:07,14.970785
icdg08s7q_flt.fits,F160W,8,129.0009,3,11,2013-10-16,18:08:40,14.970785
icdg08s8q_flt.fits,F125W,8,129.0009,3,12,2013-10-16,18:09:19,29.663755
icdg08s9q_flt.fits,F125W,8,129.0009,3,12,2013-10-16,18:10:07,29.663755
icdg08saq_flt.fits,F125W,8,129.0009,3,12,2013-10-16,18:10:55,29.663755
icdg08sbq_flt.fits,F125W,8,129.0009,3,12,2013-10-16,18:11:43,29.663755
icdg09sdq_flt.fits,F125W,9,101.000504,0,0,2013-10-16,19:05:02,29.663755
icdg09seq_flt.fits,F125W,9,101.000504,0,0,2013-10-16,19:05:50,29.663755
icdg09sfq_flt.fits,F125W,9,101.000504,0,0,2013-10-16,19:06:38,29.663755
icdg09sgq_flt.fits,F125W,9,101.000504,0,0,2013-10-16,19:07:26,29.663755
icdg09shq_flt.fits,F160W,9,101.000504,0,1,2013-10-16,19:08:20,14.970785
icdg09siq_flt.fits,F160W,9,101.000504,0,1,2013-10-16,19:08:53,14.970785
icdg09sjq_flt.fits,F160W,9,101.000504,0,1,2013-10-16,19:09:26,14.970785
icdg09skq_flt.fits,F160W,9,101.000504,0,1,2013-10-16,19:09:59,14.970785
icdg09slq_flt.fits,F160W,9,101.000504,0,1,2013-10-16,19:10:32,14.970785
icdg09smq_flt.fits,F125W,9,101.000999,1,2,2013-10-16,19:11:47,29.663755
icdg09snq_flt.fits,F125W,9,101.000999,1,2,2013-10-16,19:12:35,29.663755
icdg09soq_flt.fits,F125W,9,101.000999,1,2,2013-10-16,19:13:23,29.663755
icdg09spq_flt.fits,F125W,9,101.000999,1,2,2013-10-16,19:14:11,29.663755
icdg09sqq_flt.fits,F160W,9,101.000999,1,3,2013-10-16,19:15:05,14.970785
icdg09srq_flt.fits,F160W,9,101.000999,1,3,2013-10-16,19:15:38,14.970785
icdg09ssq_flt.fits,F160W,9,101.000999,1,3,2013-10-16,19:16:11,14.970785
icdg09stq_flt.fits,F160W,9,101.000999,1,3,2013-10-16,19:16:44,14.970785
icdg09suq_flt.fits,F160W,9,101.000999,1,3,2013-10-16,19:17:17,14.970785
icdg09svq_flt.fits,F125W,9,101.0009,2,4,2013-10-16,19:18:33,29.663755
icdg09swq_flt.fits,F125W,9,101.0009,2,4,2013-10-16,19:19:21,29.663755
icdg09sxq_flt.fits,F125W,9,101.0009,2,4,2013-10-16,19:20:09,29.663755
icdg09syq_flt.fits,F125W,9,101.0009,2,4,2013-10-16,19:20:57,29.663755
icdg09szq_flt.fits,F160W,9,101.0009,2,5,2013-10-16,19:21:51,14.970785
icdg09t0q_flt.fits,F160W,9,101.0009,2,5,2013-10-16,19:22:24,14.970785
icdg09t1q_flt.fits,F160W,9,101.0009,2,5,2013-10-16,19:22:57,14.970785
icdg09t2q_flt.fits,F160W,9,101.0009,2,5,2013-10-16,19:23:30,14.970785
icdg09t3q_flt.fits,F160W,9,101.0009,2,5,2013-10-16,19:24:03,14.970785
icdg09t4q_flt.fits,F125W,9,101.001404,3,6,2013-10-16,19:25:18,29.663755
icdg09t5q_flt.fits,F125W,9,101.001404,3,6,2013-10-16,19:26:06,29.663755
icdg09t6q_flt.fits,F125W,9,101.001404,3,6,2013-10-16,19:26:54,29.663755
icdg09t7q_flt.fits,F125W,9,101.001404,3,6,2013-10-16,19:27:42,29.663755
icdg09t8q_flt.fits,F160W,9,101.001404,3,7,2013-10-16,19:28:36,14.970785
icdg09t9q_flt.fits,F160W,9,101.001404,3,7,2013-10-16,19:29:09,14.970785
icdg09taq_flt.fits,F160W,9,101.001404,3,7,2013-10-16,19:29:42,14.970785
icdg09tbq_flt.fits,F160W,9,101.001404,3,7,2013-10-16,19:30:15,14.970785
icdg09tcq_flt.fits,F160W,9,101.001404,3,7,2013-10-16,19:30:48,14.970785
