file name,orbit,filter,time,dom V2,dom V3,roll V2,roll V3,jitter V2,jitter V3,RA,DEC,roll
icdg07p3q,7,F125W,2013-10-16 22:53:49.950000,632.8828125,-299.5853271484375,-389.9435729980469,-496.29449462890625,-0.0013005781220272183,0.0010502482764422894,94.80395799000485,-58.05271627673469,100.97973380027554
icdg07p3q,7,F125W,2013-10-16 22:53:52.950000,632.8858032226562,-299.58770751953125,-389.94140625,-496.2962341308594,0.001332852989435196,-0.0010131382150575519,94.80395931668022,-58.052715667782174,100.97972497844376
icdg07p3q,7,F125W,2013-10-16 22:53:55.950000,632.8803100585938,-299.58514404296875,-389.94635009765625,-496.293701171875,-0.003725196933373809,0.0015950872329995036,94.80395746679585,-58.052716909086236,100.97970544500419
icdg07p3q,7,F125W,2013-10-16 22:53:58.950000,632.8828735351562,-299.5860290527344,-389.94366455078125,-496.29443359375,-0.0011980036506429315,0.0007606306462548673,94.80395814951612,-58.052716264085994,100.97971602857359
icdg07p3q,7,F125W,2013-10-16 22:54:01.950000,632.8828735351562,-299.5867004394531,-389.94390869140625,-496.2951965332031,-0.001324283191934228,4.272213845979422e-05,94.80395850686608,-58.0527163365032,100.97971887536153
icdg07p3q,7,F125W,2013-10-16 22:54:04.950000,632.8822631835938,-299.58544921875,-389.9445495605469,-496.2946472167969,-0.0020245001651346684,0.000910826085601002,94.80395798947518,-58.052716481519454,100.97973033329129
icdg07p3q,7,F125W,2013-10-16 22:54:07.950000,632.882568359375,-299.5867919921875,-389.94329833984375,-496.2956237792969,-0.0013366832863539457,-0.0002647475339472294,94.80395866408105,-58.05271635615154,100.97974066324088
icdg07p3q,7,F125W,2013-10-16 22:54:10.950000,632.8818969726562,-299.586669921875,-389.9444885253906,-496.29559326171875,-0.0021722533274441957,-0.00016947754193097353,94.8039585314391,-58.052716578965246,100.97972964453118
icdg07p3q,7,F125W,2013-10-16 22:54:13.950000,632.8819580078125,-299.58599853515625,-389.94415283203125,-496.2950134277344,-0.002101198537275195,0.00042032054625451565,94.80395823458935,-58.052716528385176,100.97974872537571
icdg07p3q,7,F125W,2013-10-16 22:54:16.900000,632.88232421875,-299.5856628417969,-389.94378662109375,-496.294921875,-0.0017901634564623237,0.0006307450239546597,94.80395815724535,-58.05271643243538,100.97975350992459
icdg07p4q,7,F125W,2013-10-16 22:54:37.949000,632.88330078125,-299.5863037109375,-389.9434509277344,-496.2951354980469,-0.00013321956794243306,0.0005665118806064129,94.80395844722835,-58.05271621734691,100.97972744294464
icdg07p4q,7,F125W,2013-10-16 22:54:40.950000,632.8831787109375,-299.5874938964844,-389.9429016113281,-496.2961730957031,5.5700620578136295e-05,-0.0005324602243490517,94.80395903247546,-58.05271622397193,100.97972781605779
icdg07p4q,7,F125W,2013-10-16 22:54:43.950000,632.8812255859375,-299.5843200683594,-389.94512939453125,-496.2935791015625,-0.0019213194027543068,0.0023868081625550985,94.80395733035118,-58.05271660864473,100.97971367089986
icdg07p4q,7,F125W,2013-10-16 22:54:46.950000,632.8834228515625,-299.5877990722656,-389.9424743652344,-496.2953796386719,0.00041361580952070653,-0.0002804279502015561,94.8039589383763,-58.05271611303696,100.97972558496417
icdg07p4q,7,F125W,2013-10-16 22:54:49.950000,632.8832397460938,-299.5854797363281,-389.9421081542969,-496.2955627441406,0.000301426334772259,0.0007138301152735949,94.80395841476593,-58.05271609102797,100.9797551499613
icdg07p4q,7,F125W,2013-10-16 22:54:52.950000,632.8829956054688,-299.5872802734375,-389.9432678222656,-496.295654296875,-0.00028764174203388393,-0.0002026711154030636,94.80395882818874,-58.05271630015115,100.97973616472035
icdg07p4q,7,F125W,2013-10-16 22:54:55.950000,632.8818359375,-299.58612060546875,-389.9441223144531,-496.2947998046875,-0.0011601167498156428,0.0008571332436986268,94.80395819478161,-58.05271648199898,100.9797168750606
icdg07p4q,7,F125W,2013-10-16 22:54:58.950000,632.88330078125,-299.58599853515625,-389.9436340332031,-496.29449462890625,-0.00014051239122636616,0.0010822738986462355,94.80395818069996,-58.05271619204875,100.9797113248012
icdg07p4q,7,F125W,2013-10-16 22:55:01.950000,632.8834228515625,-299.5860595703125,-389.9430236816406,-496.2944641113281,0.0001534884504508227,0.0010433997958898544,94.80395823012941,-58.05271611393334,100.97972081885246
icdg07p4q,7,F125W,2013-10-16 22:55:04.900000,632.8829956054688,-299.5856018066406,-389.94384765625,-496.2955627441406,-0.000652382499538362,0.0006636682664975524,94.80395834524995,-58.052716353778706,100.9797470465735
icdg07p5q,7,F125W,2013-10-16 22:55:25.950000,632.8843994140625,-299.5871887207031,-389.94195556640625,-496.2960205078125,0.00030922796577215195,-0.0004729457723442465,94.803959028532,-58.05271594444171,100.9797412674211
icdg07p5q,7,F125W,2013-10-16 22:55:28.950000,632.8837890625,-299.58587646484375,-389.9422607421875,-496.2952880859375,-0.00015679078933317214,0.0005451926845125854,94.80395845723677,-58.05271601765599,100.9797426016732
icdg07p5q,7,F125W,2013-10-16 22:55:31.950000,632.88525390625,-299.5797119140625,-389.9407958984375,-496.2886657714844,0.0012720631202682853,0.006932426709681749,94.80395530842486,-58.052715290093985,100.97975006521523
icdg07p5q,7,F125W,2013-10-16 22:55:34.950000,632.88427734375,-299.58343505859375,-389.9428405761719,-496.2923278808594,-0.00016364578914362937,0.003253644797950983,94.80395706074415,-58.05271587623183,100.97973961653355
