Object,    Opt SpT,    NIR SpT, SpT Refs,  flag,RA (deg),Dec (deg),Epoch (JD),plx,eplx, PlxRef,Ymag,eYmag ,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,J2mag,eJ2mag,H2mag, eH2mag, K2mag,eK2mag, MKO+2MA,SS Refs,      sysID bin," compsep("")  HS",  HST/AO,HST AO Refs,
WISE_J104915.57-$531906.,   null,   L7.5,34,    null,162.32881,-53.31947,2451315.55,496,37,180,                 NaN,   NaN 9,11.532, 0.041 0,10.39, 0.041 0,9.438,  0.092 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  34,57",654,2,     NaN,  null,   null,
WISE_J104915.57-$5319061,   null,   T0.5:,34,    null,162.32881,-53.31947,2451315.55,496,37,180,                 NaN,   NaN 9,11.222, 0.036 0,10.37, 0.041 0,9.729,  0.109 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  34,57",654,2,     NaN,  null,   null,
Wolf_359,   M6,   M6,83124,    null,164.12027,7.01466,2451604.7,419.1,2.1,252,7.735, 0.055 1,7.03, 0.050 0,6.49, 0.050 0,6.06,  0.050 0,5.71, 0.050 0,5.85, 0.060 0,7.085,  0.024 0,6.482, 0.042 0,6.084, 0.017 0,"  57,68,146,211",238,1,     NaN,  sW,155232,
HD_95086b,   null,   null,  null,"    young,LC",C           164.26257,-68.66732,2451567.8,11.06,0.41,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,16.49, 0.500 0,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,207,356,1,0.624,  V,207,
DENIS-P_J1058.7-$1548,   L3,   L3,83128,    null,164.69946,-15.80479,2450897.73,57.7,1,58,15.31, 0.061 1,14.12, 0.050 0,13.29, 0.050 0,12.55,  0.050 0,11.62, 0.070 0,     NaN,   NaN 9,14.155,  0.035 0,13.226, 0.025 0,12.532, 0.029 0,"  57,68,145,146",130,1,     NaN,  N,218,
SSSPM_J1102-$3431,   M8.5,   null,229,"    young,TW",A           165.54097,-34.50987,2451264.66,18.1,0.5,244,14.16, 0.055 1,12.976, 0.024 1,12.402, 0.022 1,11.846,  0.024 1,    NaN,   NaN 9,     NaN,   NaN 9,13.034,  0.024 0,12.356, 0.022 0,11.887, 0.024 0,"  57,68",209,1,     NaN,  V,42,
LHS_2351,   M6,   null,208,    null,166.57905,4.47575,2451589.72,48.1,3.1,247,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,11.05, 0.120 0,     NaN,   NaN 9,12.329,  0.022 0,11.716, 0.027 0,11.332, 0.023 0,57143,230,1,     NaN,  null,   null,
SDSS_J111010.01+011613.1,   null,   T5.5,25,    null,167.5412,1.26996,2454515,52.1,1.2,68,17.072, 0.071 1,16.12, 0.050 0,16.22, 0.050 0,16.05,  0.050 0,13.89, 0.050 0,     NaN,   NaN 9,16.343,  0.115 0,15.924, 0.144 0,15.934, 0.050 1,"  57,68,146,148",146,1,     NaN,  N,26,
Gl_417B,   null,   L4.5:,68,    young,168.10698,35.80366,2450943.75,45.61,0.44,253,                 NaN,   NaN 9,15.123, 0.155 2,14.165, 0.071 2,13.285,  0.030 1,    NaN,   NaN 9,     NaN,   NaN 9,15.229,  0.162 2,14.104, 0.072 2,13.313, 0.031 1,"  57,68",644,2,90,  WK,"   14,68,9",3
Gl_417C,   null,   L6:,68,    young,168.10698,35.80366,2450943.75,45.61,0.44,253,                 NaN,   NaN 9,15.384, 0.194 2,14.484, 0.091 2,13.632,  0.032 1,    NaN,   NaN 9,     NaN,   NaN 9,15.457,  0.197 2,14.423, 0.092 2,13.663, 0.033 1,"  57,68",644,2,90,  WK,"   14,68,9",3
2MASS_J11145133-$2618235,   null,   T7.5,25,    null,168.7033,-26.3075,2455280.89,179.2,1.4,68,16.363, 0.071 1,15.52, 0.050 0,15.82, 0.050 0,16.54,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,15.858,  0.083 0,15.734, 0.123 0,16.447, 0.050 1,"  57,68,151",299,1,     NaN,  K,68,
WISE_J111838.70+312537.9,   null,   T8.5,261,    null,169.66125,31.4272,2455340.88,120.6,2.2," 102,2","22,239,261    19.180", 0.120 0,17.792, 0.053 0,18.15, 0.060 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,18.22,  0.160 0,18.13, 0.230 0,    NaN,   NaN 9,261,383,1,510,  K,261,
LHS_2397aA,   M8,   null,66,    null,170.45391,-13.21897,2454520.99,73,2.1,68,                 NaN,   NaN 9,11.89, 0.030 0,11.329, 0.030 0,    NaN,    NaN 9,10.201, 0.022 0,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,10.814, 0.023 0,"  57,66,68,146",617,2,     NaN,  WGVK,"   66,77,1",37
LHS_2397aB,   null,   null,66,    null,170.45391,-13.21897,2454520.99,73,2.1,68,                 NaN,   NaN 9,15.01, 0.081 0,14.289, 0.056 0,    NaN,    NaN 9,12.121, 0.055 0,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,13.614, 0.036 0,"  57,66,68,146",617,2,     NaN,  WGVK,"   66,77,1",37
2MASSW_J1146345+223053A,   null,   L3:,68,    null,176.64408,22.51519,2454515.01,34.9,1,68,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  57,68",618,2,     NaN,  WT,"   14,17,1",88209
2MASSW_J1146345+223053B,   null,   L3:,68,    null,176.64408,22.51519,2454515.01,34.9,1,68,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  57,68",618,2,     NaN,  WT,"   14,17,1",88209
ULAS_J115038.79+094942.9,   null,   T6.5,202,    null,177.6616,9.8286,2453900.75,16.8,7.5,183,19.92, 0.080 0,18.68, 0.040 0,19.23, 0.060 0,19.06,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,202,176,1,     NaN,  K,68,
LHS_2471,   M6.5,   null,58,    null,178.46947,6.99892,2451607.82,70.3,2.7,193,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.256,  0.022 0,10.66, 0.027 0,10.262, 0.022 0,57,189,1,     NaN,  null,   null,
2MASSW_J1155395-$372735,   L2,   null,92,    null,178.9147,-37.45974,2451283.52,104.4,4.7,71,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,12.811,  0.024 0,12.04, 0.026 0,11.462, 0.021 0,57,334,1,     NaN,  null,   null,
SDSS_J115553.86+055957.5,   null,   L7.5,135,    null,178.97454,5.99936,2451611.8,57.9,10.2,71,16.671, 0.092 1,15.552, 0.077 1,14.761, 0.070 1,14.098,  0.075 1,    NaN,   NaN 9,     NaN,   NaN 9,15.66,  0.077 0,14.703, 0.070 0,14.118, 0.075 0,"  57,68",335,1,     NaN,  null,   null,
SDSS_J115700.50+061105.2,   null,   T1.5,25,    null,179.25207,6.18475,2451961.46,33.8,14.2,71,                 NaN,   NaN 9,17.09, 0.050 0,16.45, 0.050 0,16,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,135,336,1,     NaN,  null,   null,
2MASSW_J1200329+204851,   M7,   null,89,    null,180.13718,20.81426,2451325.66,33.7,10.6,252,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,12.862,  0.021 0,12.261, 0.023 0,11.861, 0.022 0,57,290,1,204,  G,235,
2MASSW_J1207334-$393254b,   null,   L1::.,199,"    young,TW","A,pl        181.88945",-39.54833,2451300.68,19.1,0.4,63,                 NaN,   NaN 9,19.91, 0.200 1,18.15, 0.210 1,16.87,  0.110 1,15.28, 0.140 0,     NaN,   NaN 9,20,  0.200 0,18.09, 0.210 0,16.93, 0.110 0,"  40,68,192",140,1,     NaN,  NV,40240,
2MASSW_J1207334-$393254,   M8,   M8.5:,"  40,92","    young,TW",A           181.88945,-39.54833,2451300.68,19.1,0.4,63,13.678, 0.058 1,12.941, 0.030 1,12.434, 0.030 1,11.914,  0.030 1,11.38, 0.100 0,     NaN,   NaN 9,13,  0.030 0,12.39, 0.030 0,11.95, 0.030 0,"  40,68,117,192",140,1,     NaN,  NV,40240,
SDSS_J120747.17+024424.8,   L8,   T0,25105,    null,181.94656,2.74026,2451593.84,44.5,12.2,71,16.441, 0.058 1,15.38, 0.030 0,14.63, 0.030 0,14.16,  0.030 0,12.62, 0.050 0,     NaN,   NaN 9,15.58,  0.071 0,14.561, 0.065 0,13.986, 0.059 0,"  57,68,97,135",337,1,     NaN,  null,   null,
2MASS_J12095613-$1004008A,   null,   T2.5,68,    null,182.48514,-10.06788,2454514.02,45.8,1,68,                 NaN,   NaN 9,15.815, 0.053 0,15.321, 0.037 0,15.229,  0.041 0,    NaN,   NaN 9,     NaN,   NaN 9,16.16,  0.085 1,15.41, 0.096 1,15.129, 0.144 1,"  44,57,68,166",619,2,     NaN,  K,166,
2MASS_J12095613-$1004008B,   null,   T6.5:,68,    null,182.48514,-10.06788,2454514.02,45.8,1,68,                 NaN,   NaN 9,17.214, 0.159 0,18.12, 0.279 0,18.424,  0.473 0,    NaN,   NaN 9,     NaN,   NaN 9,17.658,  0.177 1,18.208, 0.293 1,18.224, 0.492 1,"  44,57,68,166",619,2,     NaN,  K,166,
2MASS_J12154430-$3420594,   null,   T4.5,172,    null,183.93461,-34.34985,2451619.63,39.8,8.9,71,17.278, 0.143 1,16.038, 0.134 1,15.859, 0.187 1,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.236,  0.134 0,15.809, 0.187 0,    NaN,   NaN 9,"  57,68",338,1,     NaN,  null,   null,
2MASSI_J1217110-$031113,   T7,   T7.5,"  22,25",    null,184.29626,-3.18699,2451208.76,90.8,2.2,249,16.584, 0.058 1,15.56, 0.030 0,15.98, 0.030 0,15.92,  0.030 0,13.96, 0.050 0,     NaN,   NaN 9,15.86,  0.061 0,15.748, 0.119 0,15.799, 0.030 1,"  57,68,146",210,1,     NaN,  WN,"   23,26",
WISEP_J121756.91+162640.,   null,   T9,169,    null,184.48726,16.44439,2455633.49,99,15.7,69,                 NaN,   NaN 9,17.736, 0.030 0,18.184, 0.030 0,18.38,  0.034 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,169,652,2,     NaN,  K,169,
WISEP_J121756.91+1626402,   null,   Y0,169,    null,184.48726,16.44439,2455633.49,99,15.7,69,                 NaN,   NaN 9,19.836, 0.035 0,20.385, 0.046 0,20.539,  0.119 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,169,652,2,     NaN,  K,169,
BRI_B1222-$1222,   M9,   null,126,    null,186.21761,-12.64312,2450903.77,58.6,3.8,247,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,12.571,  0.024 0,11.822, 0.026 0,11.353, 0.025 0,57,231,1,     NaN,  G,47,
2MASS_J12255432-$2739466A,   null,   T5.5,68,    null,186.47635,-27.66297,2450999.47,75.1,2.5,249,                 NaN,   NaN 9,15.163, 0.030 0,15.415, 0.030 0,15.506,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,15.529,  0.047 1,15.343, 0.081 1,15.3, 0.148 1,"  57,68,146",640,2,     NaN,  WK,"   23,68",
2MASS_J12255432-$2739466B,   null,   T8,68,    null,186.47635,-27.66297,2450999.47,75.1,2.5,249,                 NaN,   NaN 9,16.48, 0.031 0,16.906, 0.033 0,17.095,  0.031 0,    NaN,   NaN 9,     NaN,   NaN 9,16.909,  0.053 1,16.833, 0.082 1,16.88, 0.150 1,"  57,68,146",640,2,     NaN,  WK,"   23,68",
DENIS-P_J1228.2-$1547A,   null,   L5.5:,68,    null,187.0639,-15.79353,2454515.04,44.8,1.8,68,                 NaN,   NaN 9,14.868, 0.148 2,14.058, 0.092 2,13.4,  0.053 1,    NaN,   NaN 9,     NaN,   NaN 9,14.97,  0.139 2,14.005, 0.080 2,13.453, 0.031 0,"  57,68,145,146",620,2,     NaN,  NWTK,"   14,21,6",8186
DENIS-P_J1228.2-$1547B,   null,   L5.5:,68,    null,187.0639,-15.79353,2454515.04,44.8,1.8,68,                 NaN,   NaN 9,15.228, 0.199 2,14.258, 0.106 2,13.53,  0.054 1,    NaN,   NaN 9,     NaN,   NaN 9,15.32,  0.189 2,14.205, 0.093 2,13.59, 0.031 0,"  57,68,145,146",620,2,     NaN,  NWTK,"   14,21,6",8186
LHS_330,   M6,   M6,"  50,83,208",    null,187.30948,53.55168,2451219.99,39.6,1.1,193,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,10.89, 0.070 0,     NaN,   NaN 9,12.202,  0.022 0,11.697, 0.021 0,11.369, 0.016 0,57143,190,1,21,  null,   null,
2MASS_J12373919+6526148,   T7,   T6.5,"  22,25",    null,189.41332,65.43745,2451250.97,96.07,4.78,255,16.697, 0.100 1,15.56, 0.100 0,15.94, 0.100 0,16.4,  0.100 0,    NaN,   NaN 9,     NaN,   NaN 9,16.053,  0.087 0,15.739, 0.145 0,16.283, 0.100 1,"  57,68,151",280,1,     NaN,  W,23,
2MASSW_J1239272+551537A,   null,   null,  null,    null,189.86448,55.26054,2454514.03,42.4,2.1,68,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  57,68",621,2,     NaN,  W,"   14,93",
2MASSW_J1239272+551537B,   null,   null,  null,    null,189.86448,55.26054,2454514.03,42.4,2.1,68,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  57,68",621,2,     NaN,  W,"   14,93",
SDSSp_J125453.90-$012247.4,   T2,   T2,25,    null,193.72471,-1.37986,2451202.88,84.9,1.9,58,15.742, 0.058 1,14.66, 0.030 0,14.13, 0.030 0,13.84,  0.030 0,12.25, 0.050 0,12.65, 0.210 0,14.891,  0.035 0,14.09, 0.025 0,13.837, 0.054 0,"  57,68,144,146",131,1,     NaN,  N,26,
SSSPM_J1256-$1408,   null,   null,  null,    subd,194.05857,-14.14434,2451238.71,18.76,1.85,224,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.011,  0.027 0,13.618, 0.033 0,13.444, 0.037 0,57,201,1,     NaN,  null,   null,
SDSS_J125637.13-$022452.4,   sdL3.5,   null,30,    subd,194.15486,-2.4145,2451220.77,11.1,2.88,224,16.666, 0.116 1,16.05, 0.105 1,15.789, 0.148 1,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.099,  0.105 0,15.792, 0.148 0,    NaN,   NaN 9,"  57,68",202,1,     NaN,  null,   null,
Ross_458C,   null,   T8,56,    young?,195.17388,12.35408,2454573,85.54,1.53,253,17.72, 0.020 0,16.69, 0.010 0,17.01, 0.040 0,16.9,  0.060 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,94,252,1,103,  K,68,
Kelu-1A,   null,   L2:,68,    null,196.41676,-25.68477,2454515.06,49.7,2.4,68,                 NaN,   NaN 9,13.698, 0.052 0,12.974, 0.051 0,12.343,  0.051 0,    NaN,   NaN 9,     NaN,   NaN 9,13.883,  0.030 1,12.916, 0.028 1,12.306, 0.024 1,"  57,68,97,146,","143,162   622",2,     NaN,  KN,84162,
Kelu-1B,   null,   L4:,68,    null,196.41676,-25.68477,2454515.06,49.7,2.4,68,                 NaN,   NaN 9,14.368, 0.056 0,13.494, 0.053 0,12.763,  0.051 0,    NaN,   NaN 9,     NaN,   NaN 9,14.553,  0.037 1,13.435, 0.031 1,12.736, 0.026 1,"  57,68,97,146,","143,162   622",2,     NaN,  KN,84162,
Gl_499C,   L5,   null,99,    null,196.42111,20.77762,2451260.96,53.18,1.73,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,15.201,  0.053 0,14.04, 0.042 0,13.368, 0.039 0,57,357,1,516,  null,   null,
HD_114762B,   null,   d/sdM9:,19,    subd,198.08262,17.51712,2450837.98,25.87,0.76,253,14.55, 0.112 1,13.67, 0.100 1,13.437, 0.100 1,12.995,  0.100 1,    NaN,   NaN 9,     NaN,   NaN 9,13.74,  0.100 0,13.39, 0.100 0,13.01, 0.100 0,68198,253,1,3.3,  sL,198,
LSPM_J1314+1320A,   null,   null,  null,    null,198.58497,13.33366,2451573.93,61,2.8,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,639,2,     NaN,  null,   null,
LSPM_J1314+1320B,   null,   null,  null,    null,198.58497,13.33366,2451573.93,61,2.8,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,639,2,     NaN,  null,   null,
ULAS_J131508.42+082627.4,   null,   T7.5,202,    null,198.78508,8.44093,2453885.81,42.8,7.7,183,20, 0.080 0,18.86, 0.040 0,19.5, 0.100 0,19.6,  0.120 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,202,177,1,     NaN,  K,68,
2MASS_J13204159+0957506,   M7.5,   null,219,    null,200.17331,9.96406,2451620.85,25.89,1.62,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.726,  0.026 0,13.082, 0.031 0,12.609, 0.029 0,57,291,1,169,  null,   null,
2MASS_J13204427+0409045,   L3::,   null,219,    null,200.18448,4.15128,2451603.85,32.3,0.86,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,15.246,  0.046 0,14.302, 0.029 0,13.621, 0.046 0,57,292,1,66,  null,   null,
HIP_65423B,   null,   M6.0,116,"    young,Sc",o-Cen       201.14637,-55.95673,2451652.57,8.04,1.72,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,12.93, 0.060 0,12.51, 0.020 0,116,358,1,1.835,  G,116,
HIP_65517B,   null,   M5.5,116,"    young,Sc",o-Cen       201.44932,-48.24937,2450947.64,9.04,1.52,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,12.85, 0.030 0,12.54, 0.030 0,116,359,1,0.35,  G,116,
SDSSp_J132629.82-$003831.5,   L8:,   L5.5,73135,    null,201.62425,-0.64208,2451212.84,49.98,6.33,255,17.425, 0.058 1,16.21, 0.030 0,15.1, 0.030 0,14.17,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.103,  0.071 0,15.05, 0.060 0,14.208, 0.067 0,"  57,68,135",281,1,     NaN,  null,   null,
2MASSW_J1328550+211449,   L5,   null,128,    null,202.22932,21.24683,2451321.65,31,3.8,58,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.192,  0.105 0,15.002, 0.081 0,14.265, 0.083 0,57,132,1,     NaN,  W,14209,
G_255-34B,   L2,   null,99,    null,203.18876,74.9956,2451606.83,27.62,1.14,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,15.103,  0.043 0,14.116, 0.035 0,13.569, 0.033 0,57,360,1,38.3,  null,   null,
ULAS_J133553.45+113005.2,   null,   T8.5,56,    null,203.97277,11.50141,2455287.98,99.9,1.6,68,18.81, 0.040 0,17.9, 0.010 0,18.25, 0.010 0,18.28,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,35,178,1,     NaN,  K,68,
HD_118865B,   null,   T5,38,    null,204.93246,1.07678,2454990.75,16.02,0.86,253,19.15, 0.072 0,18.08, 0.040 0,18.39, 0.146 0,18.39,  0.195 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,38,361,1,148,  null,   null,
SDSSp_J134646.45-$003150.4,   T7,   T6.5,"  22,25",    null,206.6931,-0.53059,2451943.83,68.3,2.3,249,16.495, 0.071 1,15.49, 0.050 0,15.84, 0.050 0,15.73,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,16,  0.102 0,15.459, 0.118 0,15.772, 0.274 0,"  57,68,251",211,1,     NaN,  W,14,
2MASS_J13595510-$4034582,   L1,   null,219,    null,209.9796,-40.58285,2451284.64,64.2,5.5,71,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.645,  0.026 0,13.034, 0.028 0,12.566, 0.029 0,57,339,1,     NaN,  null,   null,
2MASS_J14044948-$3159330A,   null,   L9:,68,    null,211.20707,-31.9924,2454516.1,42.1,1.1,68,                 NaN,   NaN 9,16.465, 0.080 1,15.539, 0.069 1,14.832,  0.096 1,    NaN,   NaN 9,     NaN,   NaN 9,16.584,  0.079 1,15.482, 0.069 1,14.846, 0.096 0,"  57,68",623,2,     NaN,  K,68173,
2MASS_J14044948-$3159330B,   null,   T5,68,    null,211.20707,-31.9924,2454516.1,42.1,1.1,68,                 NaN,   NaN 9,15.925, 0.070 1,16.049, 0.071 1,16.162,  0.103 1,    NaN,   NaN 9,     NaN,   NaN 9,16.124,  0.070 1,15.992, 0.071 1,16.056, 0.102 0,"  57,68",623,2,     NaN,  K,68173,
WISEP_J140518.40+553421.5,   null,   Y0pec?,56,    null,211.32589,55.57258,2455583.68,129,18.8,69,21.24, 0.100 0,21.06, 0.060 0,21.41, 0.080 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,153,387,1,     NaN,  I,133,
ULAS_J141623.94+134836.3,   null,   T7.5p,37,    lowZ?,214.09976,13.81009,2454599,109.7,1.3,68,18.13, 0.020 0,17.35, 0.020 0,17.62, 0.020 0,18.93,  0.170 0,    NaN,   NaN 9,     NaN,   NaN 9,17.633,  0.020 1,17.553, 0.020 1,18.904, 0.170 1,"  37,68",147,1,9.814,  null,   null,
SDSS_J141624.08+134826.7,   L6,   L6p::,20,    lowZ?,214.10087,13.80801,2455307.92,109.7,1.3,68,14.28, 0.010 0,13.04, 0.010 0,12.49, 0.010 0,12.08,  0.010 0,    NaN,   NaN 9,     NaN,   NaN 9,13.148,  0.025 0,12.456, 0.028 0,12.114, 0.023 0,"  37,57",147,1,     NaN,  null,   null,
SDSS_J141659.78+500626.4,   null,   L5.5::,44,    null,214.24947,50.10718,2451604.88,21.9,0.62,253,17.958, 0.058 1,16.79, 0.030 0,16.03, 0.030 0,15.35,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.95,  0.171 0,15.955, 0.168 0,15.597, 0.158 0,"  44,57,68",293,1,570,  null,   null,
BD_+01~2920B,   null,   T8p,203,    lowZ?,215.8369,1.27726,2455220.52,58.17,0.53,253,19.69, 0.050 0,18.71, 0.050 0,19.14, 0.200 0,19.89,  0.330 1,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,68203,296,1,153,  null,   null,
GD_165B,   L4,   L3::,83128,    null,216.16289,9.28623,2451638.79,31.7,2.5,252,17.01, 0.100 0,15.64, 0.050 0,14.75, 0.050 0,14.09,  0.050 0,12.93, 0.070 0,     NaN,   NaN 9,15.687,  0.078 0,14.781, 0.070 0,14.169, 0.095 0,"  57,112,118,14",6         239,1,4,  K,68,
LSR_J1425+7102,   sdM8,   null,27159,    subd,216.27129,71.03604,2451318.71,13.37,0.51,59,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.775,  0.037 0,14.405, 0.054 0,14.328, 0.092 0,57,139,1,     NaN,  null,   null,
LHS_2919,   M7.5,   null,160,    null,217.01748,13.93715,2451227.92,82.8,4.1,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.014,  0.021 0,10.39, 0.015 0,10.026, 0.020 0,57,165,1,     NaN,  null,   null,
LHS_2924,   M9,   M9,106142,    null,217.18014,33.17754,2451612.84,90.8,1.3,193,12.854, 0.054 1,11.91, 0.030 0,11.27, 0.030 0,10.72,  0.030 0,10.12, 0.030 0,     NaN,   NaN 9,11.99,  0.021 0,11.225, 0.029 0,10.744, 0.024 0,"  57,68,146",191,1,     NaN,  N,101,
Proxima_Cen,   M5.5,   null,109,    null,217.42879,-62.67959,2451615.83,769.91,0.54,8,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,5.357,  0.023 0,4.835, 0.057 0,4.384, 0.033 0,57,306,1,7849,  W,   95b,
LHS_2930,   M6.5,   null,125,    null,217.65783,59.7236,2451251.97,103.8,1.4,193,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.79,  0.018 0,10.14, 0.020 0,9.788, 0.020 0,57,192,1,     NaN,  null,   null,
SDSS_J143517.20-$004612.9,   L0,   null,105,    null,218.82167,-0.77028,2451285.71,9.85,5.18,255,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.484,  0.097 0,15.613, 0.115 0,15.321, 0.175 0,57,282,1,     NaN,  W,"   14,93",
