Object,    Opt SpT,    NIR SpT, SpT Refs,  flag,RA (deg),Dec (deg),Epoch (JD),plx,eplx, PlxRef,Ymag,eYmag ,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,J2mag,eJ2mag,H2mag, eH2mag, K2mag,eK2mag, MKO+2MA,SS Refs,      sysID bin," compsep("")  HS",  HST/AO,HST AO Refs,
2MASSs_J0850359+105716A,   null,   L6.5:,68,    null,132.64947,10.95445,2454429.11,30.1,0.8,68,                 NaN,   NaN 9,16.619, 0.049 0,15.635, 0.040 0,14.741,  0.037 0,    NaN,   NaN 9,     NaN,   NaN 9,16.881,  0.120 1,15.643, 0.097 1,14.86, 0.069 1,"  57,68,146",611,2,248,  WANK,"   14,17,3","1,68,137,209"
2MASSs_J0850359+105716B,   null,   L8.5:,68,    null,132.64947,10.95445,2454429.11,30.1,0.8,68,                 NaN,   NaN 9,17.438, 0.087 0,16.435, 0.062 0,15.65,  0.057 0,    NaN,   NaN 9,     NaN,   NaN 9,17.711,  0.140 1,16.453, 0.108 1,15.781, 0.082 1,"  57,68,146",611,2,248,  WANK,"   14,17,3","1,68,137,209"
LHS_2065,   M9,   M9,83124,    null,133.40082,-3.49225,2451173.77,117.3,1.5,193,                 NaN,   NaN 9,11.18, 0.050 0,10.48, 0.050 0,9.91,  0.050 0,9.39, 0.070 0,9.62, 0.100 0,11.212,  0.026 0,10.469, 0.026 0,9.942, 0.024 0,"  57,97,211",187,1,     NaN,  G,47,
2MASSI_J0856479+223518A,   null,   null,  null,    null,134.19922,22.58845,2454429.12,32.4,1,68,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  57,68",612,2,     NaN,  W,"   14,93",
2MASSI_J0856479+223518B,   null,   null,  null,    null,134.19922,22.58845,2454429.12,32.4,1,68,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  57,68",612,2,     NaN,  W,"   14,93",
2MASSI_J0859254-$194926,   L6::,   null,51,    null,134.85616,-19.82413,2451219.69,65.4,6.1,71,16.607, 0.074 1,15.418, 0.054 1,14.496, 0.042 1,13.739,  0.058 1,    NaN,   NaN 9,     NaN,   NaN 9,15.527,  0.054 0,14.436, 0.042 0,13.751, 0.058 0,"  57,68",326,1,     NaN,  null,   null,
LP_368-128,   M6,   null,111,    null,135.09831,21.83484,2451123.97,156.87,2.67,111,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,9.436,  0.020 0,8.836, 0.023 0,8.437, 0.021 0,57,305,1,     NaN,  null,   null,
ULAS_J090116.23-$030635.0,   null,   T7.5,171,    null,135.31759,-3.10973,2453727.08,62.6,2.6,183,18.82, 0.050 0,17.9, 0.040 0,18.46, 0.130 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,171,173,1,     NaN,  K,68,
DENIS-P_J0909.9-$0658,   L0,   null,131,    null,137.48956,-6.97184,2451185.86,42.5,4.2,5,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.89,  0.024 0,13.09, 0.021 0,12.539, 0.026 0,57,103,1,     NaN,  W,14,
Gl_337C,   null,   L8.5:,68,    null,138.06121,14.99434,2450770.98,49.11,0.54,253,                 NaN,   NaN 9,16.072, 0.079 1,15.331, 0.082 1,14.672,  0.064 1,    NaN,   NaN 9,     NaN,   NaN 9,16.183,  0.079 1,15.278, 0.082 1,14.668, 0.064 0,"  57,68",643,2,43,  LK,"   24,68",
Gl_337D,   null,   L7.5::,68,    null,138.06121,14.99434,2450770.98,49.11,0.54,253,                 NaN,   NaN 9,16.251, 0.079 1,15.531, 0.083 1,14.932,  0.065 1,    NaN,   NaN 9,     NaN,   NaN 9,16.353,  0.079 1,15.478, 0.082 1,14.939, 0.065 0,"  57,68",643,2,43,  LK,"   24,68",
2MASSW_J0920122+351742A,   null,   L5.5:,68,    null,140.05063,35.29492,2454428.16,34.4,0.8,68,                 NaN,   NaN 9,16.156, 0.070 1,15.361, 0.060 1,14.575,  0.063 1,    NaN,   NaN 9,     NaN,   NaN 9,16.269,  0.070 1,15.299, 0.060 1,14.576, 0.062 0,"  57,68",613,2,     NaN,  WATVNK,"   14,17,6",8137188209
2MASSW_J0920122+351742B,   null,   L9:.,68,    null,140.05063,35.29492,2454428.16,34.4,0.8,68,                 NaN,   NaN 9,16.406, 0.074 1,15.621, 0.061 1,14.895,  0.065 1,    NaN,   NaN 9,     NaN,   NaN 9,16.499,  0.074 1,15.569, 0.061 1,14.912, 0.063 0,"  57,68",613,2,     NaN,  WATVNK,"   14,17,6",8137188209
SDSS_J092615.38+584720.9A,   null,   T3.5:,68,    null,141.56419,58.78887,2454513.91,43.7,1.1,68,                 NaN,   NaN 9,16.355, 0.087 1,15.853, 0.104 1,16.046,  0.195 2,    NaN,   NaN 9,     NaN,   NaN 9,16.524,  0.084 1,15.79, 0.104 1,15.953, 0.195 2,"  57,68",614,2,     NaN,  N,"   26,68",
SDSS_J092615.38+584720.9B,   null,   T5:,68,    null,141.56419,58.78887,2454513.91,43.7,1.1,68,                 NaN,   NaN 9,16.564, 0.097 1,16.483, 0.122 1,16.655,  0.212 2,    NaN,   NaN 9,     NaN,   NaN 9,16.794,  0.094 1,16.42, 0.122 1,16.533, 0.212 2,"  57,68",614,2,     NaN,  N,"   26,68",
2MASSI_J0937347+293142,   T7,   T6p,"  22,25",    lowZ?,144.39533,29.52805,2451636.78,163.39,1.76,224,15.181, 0.058 1,14.29, 0.030 0,14.67, 0.030 0,15.39,  0.060 0,12.34, 0.050 0,11.74, 0.110 0,14.648,  0.036 0,14.703, 0.068 0,15.267, 0.130 0,"  57,68,97,135",199,1,     NaN,  W,23,
2MASS_J09393548-$2448279,   null,   T8,25,    lowZ?,144.89787,-24.80776,2451584.63,187.3,4.6,29,16.47, 0.090 0,15.61, 0.090 0,15.96, 0.090 0,16.83,  0.090 0,    NaN,   NaN 9,     NaN,   NaN 9,15.98,  0.106 0,15.797, 0.150 0,16.732, 0.090 1,"  57,68,150",300,1,     NaN,  K,68,
TVLM_262-111511,   M8,   null,258,    null,145.5939,42.75991,2450926.74,34.1,6,246,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.197,  0.029 0,13.512, 0.030 0,13.095, 0.037 0,57,219,1,     NaN,  null,   null,
ULAS_J094806.06+064805.0,   null,   T7,171,    null,147.02528,6.8014,2453745.12,27.2,4.2,183,20.03, 0.140 0,18.85, 0.070 0,19.46, 0.220 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,171,174,1,     NaN,  K,68,
2MASS_J09490860-$1545485,   null,   T2,25,    null,147.28584,-15.76348,2451611.55,55.3,6.6,71,17.205, 0.127 1,16.004, 0.117 1,15.31, 0.114 1,15.302,  0.168 1,    NaN,   NaN 9,     NaN,   NaN 9,16.149,  0.117 0,15.262, 0.114 0,15.227, 0.168 0,"  57,68",327,1,     NaN,  null,   null,
LHS_6176B,   null,   T8,38,    over-L,147.69701,1.29286,2454520,53.4,3.51,38,18.9, 0.050 0,18.02, 0.030 0,18.4, 0.050 0,17.95,  0.094 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,38,376,1,52,  null,   null,
LP_261-75B,   L6,   null,129,    young,147.77289,35.96726,2450897.8,16.09,7.4,255,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,17.225,  0.210 0,15.895, 0.138 0,15.138, 0.134 0,57,278,1,13,  W,"   14,93",
TVLM_262-70502,   null,   null,  null,    null,147.94875,42.56407,2450931.73,25.6,4,246,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.183,  0.029 0,13.473, 0.027 0,13.093, 0.033 0,57,220,1,     NaN,  null,   null,
2MASS_J09522188-$1924319A,   null,   null,  null,    null,148.0912,-19.40889,2450931.61,33.85,2.95,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,600,2,     NaN,  null,   null,
2MASS_J09522188-$1924319B,   null,   null,  null,    null,148.0912,-19.40889,2450931.61,33.85,2.95,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,600,2,     NaN,  null,   null,
