datetime,FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,HEADERX,HEADERY
2013-10-16 20:45:37,icdg10u7q_flt.fits,F160W,10,129.0,0,1,14.970785000000001,15.993927001953125,8.299659729003906,129.10629272460938,222.2769775390625,10.0,1.004520058631897,0.09086525440216063,2.0697774887084956,8324.748046875,29.93834114074707,1.4031293392181396,1.5340173244476318,128.996628134,222.000402935
2013-10-16 20:46:10,icdg10u8q_flt.fits,F160W,10,129.0,0,1,14.970785000000001,15.967140197753904,8.293815612792969,129.10331726074222,222.27256774902344,10.0,1.001439929008484,0.09445847570896147,2.082653522491455,8366.103515625,30.05516624450684,1.400146722793579,1.526650309562683,128.996625293,222.000429443
2013-10-16 20:46:49,icdg10u9q_flt.fits,F125W,10,129.0,0,2,29.663755,15.88555145263672,8.264884948730469,129.18185424804688,222.1064910888672,2.0,1.0012199878692627,0.041295669972896576,1.4919267892837524,8164.35107421875,21.260498046875,1.4641478061676023,1.425944447517395,128.99833273,222.003505357
2013-10-16 20:47:37,icdg10uaq_flt.fits,F125W,10,129.0,0,2,29.663755,15.901611328125,8.276473999023438,129.17790222167972,222.10235595703125,2.0,1.001439929008484,0.05006905645132065,1.480541110038757,8153.91064453125,21.188888549804688,1.4595694541931152,1.4243810176849363,128.998327712,222.00355218
2013-10-16 20:48:25,icdg10ubq_flt.fits,F125W,10,129.0,0,2,29.663755,15.89434051513672,8.279220581054688,129.17544555664062,222.1065368652344,2.0,1.0012199878692627,0.002558747073635459,1.4998379945755005,8202.8388671875,21.33509063720703,1.45220148563385,1.42553973197937,128.998322224,222.003603397
2013-10-16 20:49:13,icdg10ucq_flt.fits,F125W,10,129.0,0,2,29.663755,15.882339477539062,8.249313354492188,129.17768859863278,222.1005096435547,2.0,0.999459981918335,0.051490522921085365,1.4663392305374146,8181.3232421875,21.13218307495117,1.4533530473709106,1.4243485927581787,128.99831628,222.003658867
2013-10-16 20:50:07,icdg10udq_flt.fits,F160W,10,129.0,0,3,14.970785000000001,15.990684509277346,8.313217163085938,129.1031494140625,222.2756500244141,10.0,1.0016599893569946,0.058796554803848274,2.049259185791016,8373.84765625,29.88096046447754,1.3938226699829102,1.5273429155349731,128.996598256,222.000681692
2013-10-16 20:50:40,icdg10ueq_flt.fits,F160W,10,129.0,0,3,14.970785000000001,15.973236083984375,8.298835754394531,129.09683227539062,222.28419494628903,10.0,1.0030900239944458,0.03475181758403778,2.007281541824341,8365.1279296875,29.643970489501953,1.3935348987579346,1.5449368953704834,128.99659363,222.00072485
2013-10-16 20:51:13,icdg10ufq_flt.fits,F160W,10,129.0,0,3,14.970785000000001,15.97064971923828,8.300605773925781,129.09791564941406,222.28121948242188,10.0,1.0035300254821775,0.059012595564126975,2.064659118652344,8357.6396484375,29.946962356567386,1.389307737350464,1.5298810005187988,128.996588808,222.000769836
2013-10-16 20:51:46,icdg10ugq_flt.fits,F160W,10,129.0,0,3,14.970785000000001,15.97809600830078,8.322868347167969,129.09877014160156,222.27626037597656,10.0,1.0027600526809692,0.028758853673934937,2.0810225009918213,8345.0078125,30.02273368835449,1.3957147598266602,1.5386523008346558,128.996583799,222.000816569
2013-10-16 20:52:19,icdg10uhq_flt.fits,F160W,10,129.0,0,3,14.970785000000001,15.958839416503904,8.32830810546875,129.10629272460938,222.2790679931641,10.0,1.0006699562072754,0.08772774785757065,2.0827608108520512,8365.01171875,30.05454444885254,1.3925153017044067,1.540354609489441,128.996578612,222.000864964
2013-10-16 20:52:58,icdg10uiq_flt.fits,F125W,10,129.0,0,4,29.663755,15.926910400390625,8.301719665527344,129.17449951171878,222.107421875,2.0,0.9996799826622008,0.05087796971201897,1.434647798538208,8165.962890625,20.946352005004886,1.4543505907058716,1.4330389499664309,128.998282865,222.003970693
2013-10-16 20:53:46,icdg10ujq_flt.fits,F125W,10,129.0,0,4,29.663755,15.914390563964846,8.299842834472656,129.17280578613278,222.10708618164062,2.0,1.000890016555786,0.02676775120198727,1.4644498825073242,8190.986328125,21.12948608398437,1.448444128036499,1.4309335947036743,128.998274677,222.004047106
2013-10-16 20:54:34,icdg10ukq_flt.fits,F125W,10,129.0,0,4,29.663755,15.891448974609375,8.276161193847656,129.174072265625,222.1094665527344,2.0,1.00177001953125,0.026957707479596138,1.4674460887908936,8201.4111328125,21.154296875,1.4500877857208252,1.4280617237091064,128.998266165,222.004126543
2013-10-16 20:55:22,icdg10ulq_flt.fits,F125W,10,129.0,0,4,29.663755,15.87738037109375,8.274551391601562,129.17250061035156,222.11019897460938,2.0,1.0012199878692627,0.039308127015829086,1.4639723300933838,8198.5205078125,21.13286781311035,1.4481762647628784,1.4306802749633791,128.998257352,222.004208785
