icdg07p3q_ima.fits  1
icdg07p4q_ima.fits  1
icdg07p5q_ima.fits  1
icdg07p6q_ima.fits  12
icdg07p7q_ima.fits  0
icdg07p8q_ima.fits  0
icdg07p9q_ima.fits  0
icdg07paq_ima.fits  0
icdg07pbq_ima.fits  0
icdg07pcq_ima.fits  4
icdg07pdq_ima.fits  3
icdg07peq_ima.fits  4
icdg07pfq_ima.fits  12
icdg07pgq_ima.fits  1
icdg07phq_ima.fits  0
icdg07piq_ima.fits  0
icdg07pjq_ima.fits  0
icdg07pkq_ima.fits  0
icdg07plq_ima.fits  4
icdg07pmq_ima.fits  1
icdg07pnq_ima.fits  2
icdg07poq_ima.fits  3
icdg07ppq_ima.fits  0
icdg07pqq_ima.fits  0
icdg07prq_ima.fits  0
icdg07psq_ima.fits  0
icdg07ptq_ima.fits  1
icdg07puq_ima.fits  2
icdg07pvq_ima.fits  1
icdg07pwq_ima.fits  2
icdg07pxq_ima.fits  2
icdg07pyq_ima.fits  0
icdg07pzq_ima.fits  0
icdg07q0q_ima.fits  0
icdg07q1q_ima.fits  0
icdg07q2q_ima.fits  0
icdg07q3q_ima.fits  1
icdg07q4q_ima.fits  2
icdg07q5q_ima.fits  6
icdg07q6q_ima.fits  3
icdg07q7q_ima.fits  1
icdg07q8q_ima.fits  2
icdg07q9q_ima.fits  2
icdg07qaq_ima.fits  2
icdg07qbq_ima.fits  1
icdg07qcq_ima.fits  3
icdg07qdq_ima.fits  2
icdg07qeq_ima.fits  4
icdg07qfq_ima.fits  3
icdg07qgq_ima.fits  1
icdg07qhq_ima.fits  0
icdg07qiq_ima.fits  0
icdg07qjq_ima.fits  0
icdg07qkq_ima.fits  0
icdg07qlq_ima.fits  2
icdg07qmq_ima.fits  1
icdg07qnq_ima.fits  1
icdg07qoq_ima.fits  2
icdg08qqq_ima.fits  1
icdg08qrq_ima.fits  3
icdg08qsq_ima.fits  1
icdg08qtq_ima.fits  2
icdg08quq_ima.fits  0
icdg08qvq_ima.fits  0
icdg08qwq_ima.fits  0
icdg08qxq_ima.fits  0
icdg08qyq_ima.fits  0
icdg08qzq_ima.fits  1
icdg08r0q_ima.fits  3
icdg08r1q_ima.fits  1
icdg08r2q_ima.fits  2
icdg08r3q_ima.fits  0
icdg08r4q_ima.fits  0
icdg08r5q_ima.fits  0
icdg08r6q_ima.fits  1
icdg08r7q_ima.fits  0
icdg08r8q_ima.fits  2
icdg08r9q_ima.fits  3
icdg08raq_ima.fits  2
icdg08rbq_ima.fits  2
icdg08rcq_ima.fits  0
icdg08rdq_ima.fits  0
icdg08req_ima.fits  0
icdg08rfq_ima.fits  1
icdg08rgq_ima.fits  0
icdg08rhq_ima.fits  2
icdg08riq_ima.fits  3
icdg08rjq_ima.fits  2
icdg08rkq_ima.fits  4
icdg08rlq_ima.fits  1
icdg08rmq_ima.fits  0
icdg08rnq_ima.fits  0
icdg08roq_ima.fits  0
icdg08rpq_ima.fits  0
icdg08rqq_ima.fits  2
icdg08rrq_ima.fits  3
icdg08rsq_ima.fits  2
icdg08rtq_ima.fits  2
icdg08ruq_ima.fits  0
icdg08rvq_ima.fits  0
icdg08rwq_ima.fits  5
icdg08rxq_ima.fits  1
icdg08ryq_ima.fits  4
icdg08rzq_ima.fits  8
icdg08s0q_ima.fits  7
icdg08s1q_ima.fits  2
icdg08s2q_ima.fits  3
icdg08s3q_ima.fits  1
icdg08s4q_ima.fits  0
icdg08s5q_ima.fits  1
icdg08s6q_ima.fits  0
icdg08s7q_ima.fits  0
icdg08s8q_ima.fits  2
icdg08s9q_ima.fits  2
icdg08saq_ima.fits  2
icdg08sbq_ima.fits  1
icdg09sdq_ima.fits  1
icdg09seq_ima.fits  0
icdg09sfq_ima.fits  1
icdg09sgq_ima.fits  0
icdg09shq_ima.fits  0
icdg09siq_ima.fits  0
icdg09sjq_ima.fits  0
icdg09skq_ima.fits  0
icdg09slq_ima.fits  0
icdg09smq_ima.fits  2
icdg09snq_ima.fits  2
icdg09soq_ima.fits  2
icdg09spq_ima.fits  2
icdg09sqq_ima.fits  0
icdg09srq_ima.fits  1
icdg09ssq_ima.fits  0
icdg09stq_ima.fits  0
icdg09suq_ima.fits  0
icdg09svq_ima.fits  1
icdg09swq_ima.fits  1
icdg09sxq_ima.fits  2
