56581.993050 Oct 16 2013 23:50:00    2.3051
56581.996520 Oct 16 2013 23:54:59    1.0159
56582.003470 Oct 17 2013 00:05:00   -1.0455
56582.006940 Oct 17 2013 00:10:00   -1.7246
56582.010410 Oct 17 2013 00:14:59   -2.6295
56582.013880 Oct 17 2013 00:19:59   -2.7065
56582.017360 Oct 17 2013 00:25:00   -3.3222
56582.020830 Oct 17 2013 00:30:00   -3.5230
56582.024300 Oct 17 2013 00:35:00   -3.1425
56582.027770 Oct 17 2013 00:39:59   -2.7402
56582.031250 Oct 17 2013 00:45:00   -1.7330
56582.034720 Oct 17 2013 00:50:00   -0.4352
56582.038190 Oct 17 2013 00:55:00    1.1052
56582.041660 Oct 17 2013 00:59:59    2.6916
56582.045130 Oct 17 2013 01:04:59    3.5366
56582.048610 Oct 17 2013 01:10:00    3.9589
56582.052080 Oct 17 2013 01:15:00    3.4851
56582.055550 Oct 17 2013 01:20:00    2.6755
56582.059020 Oct 17 2013 01:24:59    1.8343
56582.062500 Oct 17 2013 01:30:00    1.2685
56582.065970 Oct 17 2013 01:35:00    0.7696
56582.069440 Oct 17 2013 01:40:00    0.0967
56582.072910 Oct 17 2013 01:44:59   -0.5107
56582.076380 Oct 17 2013 01:49:59   -1.1084
56582.079860 Oct 17 2013 01:55:00   -1.3519
56582.083330 Oct 17 2013 02:00:00   -1.6252
56582.086800 Oct 17 2013 02:05:00   -1.6838
56582.090270 Oct 17 2013 02:09:59   -1.5088
56582.093750 Oct 17 2013 02:15:00   -1.2677
56582.097220 Oct 17 2013 02:20:00   -1.3479
56582.100690 Oct 17 2013 02:25:00   -1.1342
