orbit_07_dither_01_F125W.fits	      114.212      169.284
orbit_07_dither_02_F160W.fits	      114.077      169.389
orbit_07_dither_03_F125W.fits	      124.416      169.226
orbit_07_dither_04_F160W.fits	      124.227      169.360
orbit_07_dither_05_F125W.fits	      114.298      180.551
orbit_07_dither_06_F160W.fits	      114.400      180.503
orbit_07_dither_07_F125W.fits	      124.443      180.604
orbit_07_dither_08_F160W.fits	      124.294      180.574
orbit_07_dither_09_F125W.fits	      114.340      180.483
orbit_07_dither_10_F160W.fits	      114.474      180.539
orbit_07_dither_11_F125W.fits	      124.501      180.629
orbit_07_dither_12_F160W.fits	      124.360      180.602
orbit_07_dither_13_F125W.fits	      124.536      180.628
orbit_08_dither_01_F125W.fits	      130.276      177.494
orbit_08_dither_02_F160W.fits	      130.311      177.547
orbit_08_dither_03_F125W.fits	      140.429      177.700
orbit_08_dither_04_F160W.fits	      140.427      177.530
orbit_08_dither_05_F125W.fits	      130.362      188.757
orbit_08_dither_06_F160W.fits	      130.355      189.142
orbit_08_dither_07_F125W.fits	      140.563      188.787
orbit_08_dither_08_F160W.fits	      140.515      189.101
orbit_08_dither_09_F125W.fits	      130.378      188.900
orbit_08_dither_10_F160W.fits	      130.383      189.267
orbit_08_dither_11_F125W.fits	      140.591      188.848
orbit_08_dither_12_F160W.fits	      140.550      189.242
orbit_08_dither_13_F125W.fits	      140.594      188.858
orbit_09_dither_01_F125W.fits	      114.299      169.338
orbit_09_dither_02_F160W.fits	      114.153      169.531
orbit_09_dither_03_F125W.fits	      124.512      169.298
orbit_09_dither_04_F160W.fits	      124.273      169.378
orbit_09_dither_05_F125W.fits	      114.321      180.495
orbit_09_dither_06_F160W.fits	      114.459      180.562
orbit_09_dither_07_F125W.fits	      124.558      180.657
orbit_09_dither_08_F160W.fits	      124.357      180.621
orbit_09_dither_09_F125W.fits	      114.369      169.361
orbit_09_dither_10_F160W.fits	      114.256      169.566
orbit_09_dither_11_F125W.fits	      124.591      169.335
orbit_09_dither_12_F160W.fits	      124.422      169.421
orbit_09_dither_13_F125W.fits	      124.613      169.400
orbit_10_dither_01_F125W.fits	      130.272      177.463
orbit_10_dither_02_F160W.fits	      130.313      177.524
orbit_10_dither_03_F125W.fits	      130.264      177.463
orbit_10_dither_04_F160W.fits	      130.313      177.541
orbit_10_dither_05_F125W.fits	      130.292      177.470
orbit_10_dither_06_F160W.fits	      130.315      177.555
orbit_10_dither_07_F125W.fits	      130.305      177.489
orbit_10_dither_08_F160W.fits	      130.322      177.578
orbit_10_dither_09_F125W.fits	      130.316      177.493
orbit_10_dither_10_F160W.fits	      130.343      177.602
orbit_10_dither_11_F125W.fits	      130.346      177.509
orbit_10_dither_12_F160W.fits	      130.354      177.612
orbit_10_dither_13_F125W.fits	      130.340      177.519
orbit_11_dither_01_F125W.fits	      114.288      169.225
orbit_11_dither_02_F160W.fits	      114.185      169.421
orbit_11_dither_03_F125W.fits	      114.294      169.236
orbit_11_dither_04_F160W.fits	      114.180      169.428
orbit_11_dither_05_F125W.fits	      114.292      169.228
orbit_11_dither_06_F160W.fits	      114.196      169.424
orbit_11_dither_07_F125W.fits	      114.315      169.247
orbit_11_dither_08_F160W.fits	      114.231      169.463
orbit_11_dither_09_F125W.fits	      114.373      169.264
orbit_11_dither_10_F160W.fits	      114.263      169.490
orbit_11_dither_11_F125W.fits	      114.365      169.293
orbit_11_dither_12_F160W.fits	      114.291      169.491
orbit_11_dither_13_F125W.fits	      114.385      169.309
orbit_12_dither_01_F125W.fits	      130.077      177.530
orbit_12_dither_02_F160W.fits	      130.334      177.532
orbit_12_dither_03_F125W.fits	      130.113      177.556
orbit_12_dither_04_F160W.fits	      130.319      177.535
orbit_12_dither_05_F125W.fits	      130.330      177.482
orbit_12_dither_06_F160W.fits	      130.330      177.543
orbit_12_dither_07_F125W.fits	      130.329      177.486
orbit_12_dither_08_F160W.fits	      130.335      177.570
orbit_12_dither_09_F125W.fits	      130.351      177.507
orbit_12_dither_10_F160W.fits	      130.359      177.597
orbit_12_dither_11_F125W.fits	      130.305      177.470
orbit_12_dither_12_F160W.fits	      130.366      177.615
orbit_12_dither_13_F125W.fits	      130.361      177.532
