orbit_07_dither_01_F125W.fits	      114.356      169.259
orbit_07_dither_02_F160W.fits	      114.191      169.417
orbit_07_dither_03_F125W.fits	      124.440      169.250
orbit_07_dither_04_F160W.fits	      124.341      169.454
orbit_07_dither_05_F125W.fits	      114.410      180.549
orbit_07_dither_06_F160W.fits	      114.233      180.779
orbit_07_dither_07_F125W.fits	      124.473      180.483
orbit_07_dither_08_F160W.fits	      124.434      180.642
orbit_07_dither_09_F125W.fits	      114.473      180.536
orbit_07_dither_10_F160W.fits	      114.342      180.681
orbit_07_dither_11_F125W.fits	      124.521      180.508
orbit_07_dither_12_F160W.fits	      124.478      180.680
orbit_07_dither_13_F125W.fits	      124.549      180.615
orbit_08_dither_01_F125W.fits	      130.246      177.588
orbit_08_dither_02_F160W.fits	      130.163      177.805
orbit_08_dither_03_F125W.fits	      140.417      177.571
orbit_08_dither_04_F160W.fits	      140.301      177.664
orbit_08_dither_05_F125W.fits	      130.267      188.847
orbit_08_dither_06_F160W.fits	      130.177      189.140
orbit_08_dither_07_F125W.fits	      140.427      188.862
orbit_08_dither_08_F160W.fits	      140.307      189.121
orbit_08_dither_09_F125W.fits	      130.314      188.944
orbit_08_dither_10_F160W.fits	      130.194      189.214
orbit_08_dither_11_F125W.fits	      140.467      188.906
orbit_08_dither_12_F160W.fits	      140.337      189.173
orbit_08_dither_13_F125W.fits	      140.471      188.916
orbit_09_dither_01_F125W.fits	      114.396      169.369
orbit_09_dither_02_F160W.fits	      114.259      169.499
orbit_09_dither_03_F125W.fits	      124.538      169.302
orbit_09_dither_04_F160W.fits	      124.382      169.486
orbit_09_dither_05_F125W.fits	      114.469      180.567
orbit_09_dither_06_F160W.fits	      114.284      180.821
orbit_09_dither_07_F125W.fits	      124.625      180.587
orbit_09_dither_08_F160W.fits	      124.478      180.693
orbit_09_dither_09_F125W.fits	      114.488      169.349
orbit_09_dither_10_F160W.fits	      114.327      169.536
orbit_09_dither_11_F125W.fits	      124.611      169.334
orbit_09_dither_12_F160W.fits	      124.505      169.524
orbit_09_dither_13_F125W.fits	      124.646      169.380
orbit_10_dither_01_F125W.fits	      130.240      177.560
orbit_10_dither_02_F160W.fits	      130.167      177.780
orbit_10_dither_03_F125W.fits	      130.233      177.563
orbit_10_dither_04_F160W.fits	      130.163      177.796
orbit_10_dither_05_F125W.fits	      130.252      177.583
orbit_10_dither_06_F160W.fits	      130.166      177.811
orbit_10_dither_07_F125W.fits	      130.257      177.613
orbit_10_dither_08_F160W.fits	      130.172      177.831
orbit_10_dither_09_F125W.fits	      130.266      177.618
orbit_10_dither_10_F160W.fits	      130.188      177.859
orbit_10_dither_11_F125W.fits	      130.291      177.635
orbit_10_dither_12_F160W.fits	      130.196      177.873
orbit_10_dither_13_F125W.fits	      130.287      177.643
orbit_11_dither_01_F125W.fits	      114.412      169.222
orbit_11_dither_02_F160W.fits	      114.274      169.409
orbit_11_dither_03_F125W.fits	      114.418      169.228
orbit_11_dither_04_F160W.fits	      114.270      169.415
orbit_11_dither_05_F125W.fits	      114.418      169.216
orbit_11_dither_06_F160W.fits	      114.285      169.409
orbit_11_dither_07_F125W.fits	      114.434      169.238
orbit_11_dither_08_F160W.fits	      114.311      169.449
orbit_11_dither_09_F125W.fits	      114.483      169.267
orbit_11_dither_10_F160W.fits	      114.331      169.484
orbit_11_dither_11_F125W.fits	      114.483      169.288
orbit_11_dither_12_F160W.fits	      114.355      169.482
orbit_11_dither_13_F125W.fits	      114.512      169.303
orbit_12_dither_01_F125W.fits	      130.281      177.587
orbit_12_dither_02_F160W.fits	      130.182      177.791
orbit_12_dither_03_F125W.fits	      130.299      177.602
orbit_12_dither_04_F160W.fits	      130.169      177.792
orbit_12_dither_05_F125W.fits	      130.281      177.600
orbit_12_dither_06_F160W.fits	      130.178      177.801
orbit_12_dither_07_F125W.fits	      130.278      177.607
orbit_12_dither_08_F160W.fits	      130.182      177.825
orbit_12_dither_09_F125W.fits	      130.296      177.630
orbit_12_dither_10_F160W.fits	      130.200      177.858
orbit_12_dither_11_F125W.fits	      130.260      177.591
orbit_12_dither_12_F160W.fits	      130.204      177.873
orbit_12_dither_13_F125W.fits	      130.306      177.654
