orbit_07_dither_01_F125W.fits      114.212      169.284
orbit_07_dither_02_F160W.fits      114.090      169.409
orbit_07_dither_03_F125W.fits      124.326      169.246
orbit_07_dither_04_F160W.fits      124.225      169.406
orbit_07_dither_05_F125W.fits      114.228      180.571
orbit_07_dither_06_F160W.fits      114.139      180.667
orbit_07_dither_07_F125W.fits      124.341      180.537
orbit_07_dither_08_F160W.fits      124.273      180.653
orbit_07_dither_09_F125W.fits      114.283      180.563
orbit_07_dither_10_F160W.fits      114.193      180.695
orbit_07_dither_11_F125W.fits      124.379      180.557
orbit_07_dither_12_F160W.fits      124.310      180.699
orbit_07_dither_13_F125W.fits      124.393      180.567
orbit_08_dither_01_F125W.fits      130.115      177.591
orbit_08_dither_02_F160W.fits      130.064      177.726
orbit_08_dither_03_F125W.fits      140.244      177.590
orbit_08_dither_04_F160W.fits      140.165      177.688
orbit_08_dither_05_F125W.fits      130.143      188.851
orbit_08_dither_06_F160W.fits      130.068      189.088
orbit_08_dither_07_F125W.fits      140.269      188.865
orbit_08_dither_08_F160W.fits      140.180      189.078
orbit_08_dither_09_F125W.fits      130.180      188.958
orbit_08_dither_10_F160W.fits      130.086      189.144
orbit_08_dither_11_F125W.fits      140.293      188.923
orbit_08_dither_12_F160W.fits      140.223      189.143
orbit_08_dither_13_F125W.fits      140.295      188.935
orbit_09_dither_01_F125W.fits      114.225      169.368
orbit_09_dither_02_F160W.fits      114.154      169.496
orbit_09_dither_03_F125W.fits      124.374      169.327
orbit_09_dither_04_F160W.fits      124.269      169.465
orbit_09_dither_05_F125W.fits      114.279      180.578
orbit_09_dither_06_F160W.fits      114.177      180.737
orbit_09_dither_07_F125W.fits      124.386      180.598
orbit_09_dither_08_F160W.fits      124.304      180.723
orbit_09_dither_09_F125W.fits      114.298      169.358
orbit_09_dither_10_F160W.fits      114.208      169.519
orbit_09_dither_11_F125W.fits      124.431      169.352
orbit_09_dither_12_F160W.fits      124.347      169.496
orbit_09_dither_13_F125W.fits      124.461      169.384
orbit_10_dither_01_F125W.fits      130.112      177.568
orbit_10_dither_02_F160W.fits      130.070      177.709
orbit_10_dither_03_F125W.fits      130.105      177.572
orbit_10_dither_04_F160W.fits      130.066      177.720
orbit_10_dither_05_F125W.fits      130.118      177.590
orbit_10_dither_06_F160W.fits      130.068      177.733
orbit_10_dither_07_F125W.fits      130.125      177.611
orbit_10_dither_08_F160W.fits      130.077      177.753
orbit_10_dither_09_F125W.fits      130.134      177.619
orbit_10_dither_10_F160W.fits      130.092      177.766
orbit_10_dither_11_F125W.fits      130.154      177.633
orbit_10_dither_12_F160W.fits      130.099      177.781
orbit_10_dither_13_F125W.fits      130.151      177.640
orbit_11_dither_01_F125W.fits      114.249      169.236
orbit_11_dither_02_F160W.fits      114.162      169.394
orbit_11_dither_03_F125W.fits      114.255      169.241
orbit_11_dither_04_F160W.fits      114.159      169.399
orbit_11_dither_05_F125W.fits      114.257      169.231
orbit_11_dither_06_F160W.fits      114.169      169.391
orbit_11_dither_07_F125W.fits      114.267      169.248
orbit_11_dither_08_F160W.fits      114.190      169.418
orbit_11_dither_09_F125W.fits      114.298      169.271
orbit_11_dither_10_F160W.fits      114.208      169.440
orbit_11_dither_11_F125W.fits      114.299      169.297
orbit_11_dither_12_F160W.fits      114.226      169.442
orbit_11_dither_13_F125W.fits      114.314      169.319
orbit_12_dither_01_F125W.fits      130.145      177.590
orbit_12_dither_02_F160W.fits      130.084      177.714
orbit_12_dither_03_F125W.fits      130.156      177.603
orbit_12_dither_04_F160W.fits      130.075      177.718
orbit_12_dither_05_F125W.fits      130.143      177.602
orbit_12_dither_06_F160W.fits      130.082      177.724
orbit_12_dither_07_F125W.fits      130.141      177.607
orbit_12_dither_08_F160W.fits      130.087      177.746
orbit_12_dither_09_F125W.fits      130.156      177.627
orbit_12_dither_10_F160W.fits      130.103      177.767
orbit_12_dither_11_F125W.fits      130.129      177.603
orbit_12_dither_12_F160W.fits      130.109      177.783
orbit_12_dither_13_F125W.fits      130.167      177.650
